"","ChineseHamster1","ChineseHamster2","ChineseHamster3","ChineseHamster4","ChineseHamster5","Dog1","Dog2","Dog3","Goat1","Goat2","Goat3","GoldenHamster1","GoldenHamster2","GoldenHamster3","GoldenHamster4","GuineaPig1","GuineaPig2","GuineaPig3","GuineaPig4","Human1","Human2","Human3","Human4","Monkey1","Monkey2","Monkey3","Monkey4","Monkey5","Mouse1","Mouse2","Mouse3","Mouse4","Mouse5","Pig1","Pig2","Pig3","Pig4","Pig5","Rabbit1","Rabbit2","Rabbit4","Rabbit5","Rat1","Rat2","Rat3","Zebrafish1","Zebrafish2","Zebrafish3"
"miR-146-5p",2465,2694,2040,2177,1337,1078,1293,791,5142,4823,3589,1,26,15,2,768,1162,483,386,638,1261,217,141,17,273,275,516,98,0,552,191,91,11,3392,4052,4413,5557,4038,35,80,71,66,728,2033,1497,0,10,40
"miR-148-3p/152-3p",2410,2521,2743,1466,1265,554,230,40,4397,4729,2449,163,215,202,160,129,117,113,121,200,330,323,167,607,399,459,476,628,1,1618,974,296,226,24150,60951,36878,42609,40673,46,135,91,55,11,4,440,0,1,4
"miR-30-5p",1339,936,1036,987,677,1606,1177,778,5662,6403,4349,1828,2219,1732,2177,3457,5579,3810,2368,1617,3726,1572,2391,4587,5790,6486,20147,8328,3034,53021,28213,21997,3507,13419,21324,16894,19785,16284,453,429,338,708,382,50,909,2065,344,1831
"miR-191-5p",839,755,780,805,770,412,339,239,1502,1201,828,200,381,234,273,560,652,249,214,892,1148,831,1416,376,499,421,1759,1292,62,7766,4538,814,517,866,1017,779,1594,1479,403,558,717,404,108,285,383,8,175,23
"miR-27-3p",828,617,742,621,221,230,270,188,1921,1972,1217,286,582,384,827,263,571,608,341,282,926,218,338,218,93,290,451,314,6,5474,4255,1470,692,555,417,845,823,690,7,9,48,89,16,1,67,58,65,175
"miR-25/32-5p/92-3p",790,798,1657,859,554,244,162,100,570,775,567,373,517,402,336,670,1433,1222,617,1284,3015,1280,2138,970,984,994,2794,1866,203,6914,7178,4609,202,2116,5090,3472,4193,5213,565,479,747,603,17,245,306,664,317,708
"let-7-5p/98-5p",658,545,2199,1133,1774,1164,971,654,1446,1473,755,319,418,339,381,192,185,385,363,423,3192,110,725,1392,615,1447,3305,2087,1162,19477,7965,6109,1272,2057,5881,2568,4755,2940,67,66,127,1106,8648,10421,15295,279,67,215
"miR-335-3p",571,598,14,328,22,14,27,13,47,118,13,2,23,4,0,48,195,84,116,121,21,64,71,134,92,46,159,201,0,179,280,1,0,11,123,31,10,2,15,5,1,10,93,48,31,0,0,0
"miR-26-5p",541,391,665,160,538,1867,1801,946,2938,3666,3427,381,310,321,159,943,1330,937,700,1213,2177,849,963,1192,428,808,2715,1373,525,11576,5027,827,285,2285,4249,4058,3972,5273,197,248,227,426,704,578,933,713,411,1633
"miR-96/1271-5p",401,91,98,358,16,69,95,20,8,57,47,21,68,44,61,51,52,120,26,369,576,142,192,76,206,104,564,178,232,1431,345,778,547,809,1717,488,1720,1378,0,0,5,1,34,301,317,0,0,0
