Gene	Human1	Human2	Human3	Human4	Human5	Monkey1	Monkey2	Monkey4	Monkey5	Rabbit1	Rabbit2	Rabbit4	Rabbit5	GuineaPig1	GuineaPig2	GuineaPig3	Mouse1	Mouse2	Mouse3	Mouse4	Mouse5	Rat1	Rat2	Rat3	Rat4	Rat5	GoldenHamster1	GoldenHamster2	GoldenHamster3	GoldenHamster4	ChineseHamster1	ChineseHamster2	ChineseHamster3	ChineseHamster4	ChineseHamster5	Dog1	Dog2	Dog3	Pig1	Pig2	Pig3	Pig4	Pig5	Goat1	Goat2	Goat3	Zebrafish1	Zebrafish2	Zebrafish3
TOB1	74.91	103.61	294.1	1070.93	725.25	57.27	33.46	21.13	24.18	44.91	35.86	55.69	75.19	6.67	40.82	54.52	0	0	0	0	0	0	0	0.06	0	0	0	16.96	20.65	12.45	2.59	2.19	0	0	3.65	72.67	99.56	51	0	2.91	8.64	37.71	10.68	40.61	3.58	10.03	159.09	167.52	181.51
CNOT7	160.33	193.89	84.72	82.85	62.76	445.25	607.5	556.67	474.85	637.41	582.61	609.54	670.93	608.11	247.71	237.46	1690.22	2111.29	1472.07	1055.11	1474.4	1165.31	862.14	994.71	1110.25	1262.45	766.02	590.93	688.13	888.8	197.65	210	215.6	222.18	177.14	102.61	169.89	137.78	685.6	612.87	793.9	696.01	648.38	523.51	595.56	530.84	22.33	25.18	20.15
PAN3	101.38	103.47	78.07	148.59	116.82	18.52	32.11	27.35	31.17	425.7	481.59	458.07	347.28	27.05	14.99	8.67	102.38	61.6	45.39	49.68	88.59	111.01	108.7	87.24	125.8	106.99	84.55	93.84	135.36	79.11	25.35	25.15	22.69	24.64	22.28	7.52	15.84	6.16	27.03	33.04	46.09	30.11	37.97	73.86	78.72	97.39	38.13	48.49	48.3
CNOT2	113.22	152.53	43.72	52.02	54.62	130.54	95.79	118.63	142.72	128.66	147.25	121.65	117.62	139.62	86.1	75.17	62.19	62.89	59.24	40.67	81.92	226.8	82.42	124.85	213.63	141.86	111.52	107.14	127.08	160.03	78.71	70.46	78.61	70.48	66.91	112.96	158.95	172.06	104.15	109.64	87.14	85.12	66.2	50.17	74.65	61.71	24.2	19.96	19.48
CNOT11	39.08	53.81	61.68	87.57	96.51	54.07	43.69	58.98	52.41	0	0	0	0	2.87	32.48	33.24	18.92	7.18	26.04	15.15	7.95	8.87	17.58	35.57	11.54	4.42	0	0	0	1.08	20.26	12.33	20.44	21.19	21.02	70.4	64.87	59.99	63.63	45.09	63.43	26.64	45.71	38.04	42.77	70.44	24.56	21.45	18.84
TNRC6B	43.21	61.08	34.02	56.66	50.11	52.37	58.03	42.55	37.88	16	10.21	16.24	17.9	48.2	47.93	26.09	9.86	7.37	10.64	5.11	8.06	11.95	13.73	14.87	9.3	8.81	0.69	3.66	2.08	3.7	61.3	45	48.43	49.04	52.79	5.35	14.48	9.38	10.79	12.08	14.21	17.33	15.17	24.82	35.9	39.52	2.39	3.37	3.03
CNOT4	38.33	45.57	24.52	36.71	27.68	165.27	90.02	162.7	174.03	219.75	243.41	281.74	212.88	117.87	158.97	157.46	73.76	108.87	66.84	71.16	91.54	115.97	132.62	115.16	153.13	143.78	87.78	103.63	47.39	172.6	183.3	197.53	170.75	186.7	158.43	47.61	49.75	54.37	140.99	146.5	145.85	151.13	173.43	207.74	212.42	277.78	52.89	46.09	54.12
CNOT6	39.63	31.25	20.25	31.94	40.22	24.89	19.78	14.44	27.65	0	0.95	0.15	0.51	0	0.68	1.07	12.89	16.36	8.41	7.47	15.06	25.73	13.19	19.92	19.78	30.84	41.39	26.02	50.77	8.67	1.13	3.17	1.34	2.83	0	1.6	0	0	14.1	13.89	16.05	9.25	4.29	34.33	48.91	43.7	92.26	95.26	96.04
CNOT6L	33.01	37.55	36.14	17.08	18.17	108.71	116.16	96.66	98.09	15.85	22.38	22.32	11.35	51.52	18.61	26.21	55.18	58.79	45.62	72.75	64.08	309.77	161.7	209.53	164.54	317.45	260.25	235.66	192.5	253.89	15.65	13.82	14.29	13.06	16.1	75.11	67.72	60.04	44.66	45.75	69.85	31.37	27.81	119.94	159.75	178.06	10.36	10.11	11.75
TNRC6A	43.49	39.02	11.46	19.16	24.4	105.32	104.6	64.87	55.02	110.27	120.02	97.84	118.14	25.05	14.24	9.25	1.85	0.3	2.07	0.92	4.05	37.97	34.62	42.87	30.21	42.83	30.94	20.18	16.73	28.44	15.97	24.82	16.54	22.17	20.98	18.34	25.25	23.46	39.65	45.86	38.87	48.46	51.35	14.93	18.18	28.27	2.78	4.88	7.86
