gene	Human1	Human2	Human3	Human4	Human5	Monkey1	Monkey2	Monkey4	Monkey5	Rabbit1	Rabbit2	Rabbit4	Rabbit5	GuineaPig1	GuineaPig2	GuineaPig3	Mouse1	Mouse2	Mouse3	Mouse4	Mouse5	Rat1	Rat2	Rat3	Rat4	Rat5	ChineseHamster1	ChineseHamster2	ChineseHamster3	ChineseHamster4	ChineseHamster5	GoldenHamster1	GoldenHamster2	GoldenHamster3	GoldenHamster4	Dog1	Dog2	Dog3	Pig1	Pig2	Pig3	Pig4	Pig5	Goat1	Goat2	Goat3	Zebrafish1	Zebrafish2	Zebrafish3
HENMT1	1059.36	1073.24	624.85	732.16	664.75	455.49	461.35	399.85	523.06	16102.61	15068.45	12862.4	11865.14	91.66	229.94	273.91	14.44	5.38	8.78	6.43	7.22	0.0	0.0	11.47	12.53	3.24	2.9	0.21	6.57	3.23	2.85	17.48	50.42	59.16	99.45	1116.12	1509.21	1008.15	2245.57	2241.29	2267.09	1928.72	2211.84	0.0	0.0	2.15	0.98	3.33	1.75
GTSF1	231.18	97.98	884.89	963.67	952.85	877.68	774.04	1603.16	1622.87	52.28	68.48	85.94	87.49	313.74	1195.25	1399.29	109.98	131.39	110.26	121.22	122.87	1434.92	1399.85	1510.25	1395.49	1345.27	427.7	471.89	307.65	354.92	471.65	169.13	260.3	155.93	161.19	486.87	610.16	552.83	175.25	143.51	114.93	176.87	173.05	174.5	93.0	94.48	616.51	720.5	688.68
MAEL	475.39	311.7	270.97	334.16	306.98	915.48	1290.86	1062.38	927.33	361.05	514.44	563.84	570.7	109.44	517.59	601.93	3.5	2.33	2.01	2.98	2.42	22.05	11.88	3.73	10.21	0.0	247.95	255.2	200.61	241.05	243.88	39.42	0.0	28.54	0.0	17.84	14.11	9.2	570.2	635.28	659.56	579.74	533.11	222.83	152.87	138.95			
PNLDC1	71.86	40.95	187.73	269.38	273.26	19.03	9.57	2.27	17.68	455.4	395.21	563.96	644.11	84.72	797.89	840.83	0.0	0.0	0.0	0.0	1.25	12.82	7.67	15.5	4.71	6.83	275.85	244.29	221.79	232.75	223.18	116.64	90.92	83.29	182.45	13.1	47.78	12.65	8.57	15.85	18.44	23.76	13.96	49.86	74.66	77.77			
PIWIL3	48.23	38.44	114.23	119.8	87.03	38.46	48.38	8.14	29.07	3.54	6.53	7.11	1.8	132.05	174.2	190.13											0.0	0.43	0.0	0.0	0.4	1.17	16.27	0.68	5.79	38.37	58.09	61.31	54.38	43.48	46.89	43.36	29.56	75.74	51.23	44.76			
DDX39B	4.62	8.31	102.92	96.0	113.35	6.21	23.58	9.38	31.64	51.89	49.35	42.51	67.89	0.33	542.47	557.08	1.75	2.03	2.36	1.28	1.64	21.31	45.42	38.52	34.22	24.68	248.55	241.7	233.6	266.03	269.02	36.7	31.71	3.74	16.83	3.63	3.33	0.0	13.2	30.12	20.62	20.14	15.73	1.58	3.62	10.13	26.88	18.44	23.81
TDRD1	67.56	97.46	22.06	26.07	27.47	47.79	24.64	25.87	46.47	102.38	166.12	135.16	90.34	166.62	95.78	121.79	10.68	19.84	9.17	8.41	9.55	358.74	285.28	225.25	274.36	291.9	347.24	297.9	338.76	338.2	333.89	37.69	43.16	33.05	72.58	101.93	121.99	93.07	88.16	95.36	132.51	71.97	62.32	81.18	125.01	72.39	51.18	35.37	39.63
FKBP6	43.54	29.34	20.32	17.53	21.82	370.22	557.55	317.71	423.7	32.97	21.34	31.82	53.05	73.32	108.03	106.67	0.0	8.4	3.23	2.24	4.04	18.76	4.69	40.98	46.27	13.51	40.32	69.32	87.67	47.33	79.66	5.46	10.61	6.31	1.85	758.36	1040.87	1047.32	1003.43	771.73	1001.02	1085.44	783.36	69.65	46.62	80.24	4.9	10.57	13.66
RNF17	30.29	28.96	15.58	25.09	15.49	251.09	184.42	243.76	280.48	26.49	25.33	20.07	20.8	28.49	34.88	40.75	207.05	210.17	153.93	141.94	180.82	234.41	112.77	161.33	160.59	185.74	83.47	91.94	87.74	93.57	86.91	41.08	49.42	31.73	61.65	40.92	31.07	22.73	51.27	40.04	71.15	72.11	42.93	41.16	33.63	22.84	27.5	28.82	25.74
TDRD7	18.84	27.4	14.83	20.18	16.53	74.48	55.54	84.65	75.46	4.07	1.38	13.43	8.64	0.0	10.32	14.61	0.41	0.0	0.0	1.03	0.76	0.73	0.0	3.43	0.0	0.0	17.92	17.53	14.45	15.48	14.36	9.31	18.34	20.46	23.26	9.1	16.19	10.85	9.06	8.66	12.62	2.47	4.1	336.13	372.12	280.43			
TDRD6	23.83	26.65	12.16	16.49	16.26	98.71	68.35	85.54	81.95	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2	18.59	38.58	14.67	13.84	17.44	16.23	17.41	50.9	57.49	62.67
