Gene	Human	Monkey	Rabbit	GuineaPig	Mouse	Rat	GH	CH	Dog	Pig	Goat	Zebrafish
TBX5-RBM19	2251065	4865936	7524491	5293058	58330	12918	3466226	3699661	9200829	2634617	1015189	62
ZNF518B-WDR1	4327999	12420513	7434005	6012854	4252	4665	2068927	1739135	7447182	3880669	3003772	119
LRFN2-MOCS1	1076731	2441619	2720203	9994531	5770	1356	2822465	2142469	2692056	2494321	2939134	59893
KCNK9-COL22A1	2778617	3605766	3077240	60418	386417	23452	16880	2127498	7041906	1872438	740952	4427
CCNG2-CXCL13	2782614	8641296	5561996	503733	6016562	67162	15371	26408	171428	8664999	81844	9079
UNC5B	403578	232686	1313922	9739	90	2886	213	1607	3936902	3065791	4509	8635
USP24	111054	539130	3354	13999	242632	359	7750	4609	4069120	370213	33436	
TOR3A-ABL2	4591	952	2065	57	63	4335	77	5845	2155	6436	993	1372
GAN-CMIP	4767	7701	1775	353	452	4818	350	922	0	13	1588	125
C11ORF40-TRIM21	306707	108863	14499	509	467730	707	258	15331	276953	390595	243903	
EIF4EBP2	30	1209	0	17	13586	4229	20	7057	3021	0	878	
GHRL	0	121	3	12	0	13017	3572	1	2421	0	14180	0
GRIK2	24781	2371					7280	19686	197778			
PIK3C3	15850	117228	231772	15103	0	0	0	0	0	0	62888	
ADGRG2	25892	8567	239771	630	76795	58365	4242	21860	303	9255	1446	
EXD2						7633421						
ALDH1L2					828583	3533663						
CBX3						347033						
ZIM1					409255	1047720						
CREM						264353						
LOC500350					448	747083						
AO6			0			376550						
TMEM92	0					211000						
SPEER5-PS1					501012							
GM17821	5854	721	587	1559	845110	818	1815	19	3717	10911	5853	
GM9685					155587							
SPATA16					47791	0		0				
AMER3					106634	0		0				
AARD-SLC30A8	3180	16796	1412057	1210	441	162	357	697	709	10544	22968	
TIPIN-DIS3L	10469	2263	536014	1016	413	3014	595	94	1342	9589	365	
YWHAQ-MYCN				1423277								
LOC100718357				663741								
LOC111754856				471732								
VN2R302P-PROP1									441223			
LOC102155316	663		774	0	0	0		0	3207	25	998	328
ACER2	7278	8662	7571	87184	39820	3636	365	201	101864	20718	10845	
ALPK2	4798	410	2735	2017	147	2031	3484	1	144	23528	547914	
VEGFA-RSPH9	13106	1178	1035	36	131	913	2200490	1059769	363	3020	4072	
CDC7-TGFBR3	9643	5404	11261	22072	2351	2480	165394	7037	830	33626	24922	
KCTD20	46790	26438		1577	78835	8556	1975	2655728	1811	30235		
TET1-DNA2	61236	6850	357054	1917	3167	2591	8164	1651477	1035	15129	1935	
USO1					57	1121	693	509383		491	47	
MYZAP-CGNL1	31	76	428		1093	11	73	331761	291	305	1112	
CRX					2199	112	1118	675697				
ADAM29	80801	7268										
ZNF678	66370											
ARHGEF28-ENC1	152472	130153	53187	28649	272714	8134	2880	48369	2554	49330	108514	
PCCB-MSL2	31864	39										
CUL2-PRDX2P2	18585											
FAM95B1	19151											
DROSHA-CDH6	7531	18	0									
OR2T1-OR2T7	18549		4252						141	0	0	
NAGK	20468											
LEPROT												222298
CACNA1FA												115685
TTI2-PPIAA												185869
