TE	sense	antisense	total	RNAseq	div	copies	length
BovB	226131	352431	578562	12686.64	11.299	560282	594.18
BOV-A2	13824	44169	57993	250680.99	11.504	273901	163.019
Bov-tA1	23293	32527	55820	86158.19	16.204	182493	202.398
Bov-tA2	20003	24450	44452	290758.68	14.156	390774	182.029
Bov-tA3	11006	20629	31634	201952.18	11.531	91922	180.677
CHR-2A	3650	17549	21199	20909	17.252	27933	240.518
BTLTR1	2152	14865	17017	554.88	13.601	110449	156.653
Tigger1a_Art	217	13388	13605	3253.63	18.301	4706	245.129
L1_Art	1373	10957	12331	1765.54	22.601	123522	205.871
CHR-2B	6678	2514	9193	13771.19	19.275	57132	202.688
L1_BT	2584	5073	7658	23078.09	16.908	96302	989.968
CHR-2	4659	1871	6530	5019.17	20.549	16399	265.275
LTR88b	4861	0	4861	0	29.932	858	164.895
MER5A1	0	2780	2780	1387.21	22.938	12101	122.858
L1MC3	8	1490	1499	0	22.448	10401	373.755
CHRL	519	859	1378	27870.26	20.084	129286	114.212
L1MB1	32	894	926	0	21.733	8050	369.19
ERV3-16A3_I	12	763	775	0	29.712	4166	443.383
MamGypLTR2b	0	659	659	0	27.251	496	165.232
L4_A_Mam	74	451	525	0	30.079	4191	229.138
MER70-int	400	58	457	0	31.857	115	208.348
L1M2	51	329	380	0	22.371	9877	427.138
L1MA10	61	276	336	0	21.779	3302	229.466
Charlie2a	0	317	317	50.44	25.065	2173	289.595
L1ME5	311	0	311	0	27.994	1959	293.655
MER110-int	16	286	302	0	31.795	512	337.945
L1MA9	60	211	271	0	23.158	71248	389.553
L1M4	42	210	252	0	22.865	16854	387.719
Eutr11	0	246	246	0	25.722	416	247.531
MER52-int	124	117	241	0	32.111	3704	518.241
MER5A	10	216	226	807.1	26.214	26382	122.203
L1M3	58	166	224	0	21.012	16619	467.71
MER20	116	103	219	580.1	22.795	13529	165.163
MER99	219	0	219	75.67	23.191	274	262.113
L1MEh	210	1	211	0	27.64	1696	324.84
ERVL-E	38	168	206	0	30.825	6013	395.177
L1MB2	26	177	203	0	19.655	6454	355.049
L1PB4	157	41	198	0	24.299	2677	301.995
MER83B-int	40	157	197	0	26.942	245	192.833
LTR65	2	184	186	0	22.962	326	246.285
L1ME1	6	176	182	0	24.963	19216	410.997
Charlie5	71	100	171	454	20.664	2078	226.796
MER77B	1	156	156	0	25.013	1031	313.377
MER83A-int	100	55	155	0	32.61	164	154.567
L1MCc	127	25	152	0	28.215	2015	338.645
L1MC	2	129	131	0	22.737	7936	292.451
L1MC1	103	25	128	0	19.239	13218	413.867
Charlie12	41	85	126	0	19.714	7	61.857
HERVL74	84	28	112	0	25.436	228	382.246
