TE	Name	sense	antisense	total	RNAseq	div	copies	length
rnd-5_family-477#LTR/ERVK	ORR1D1-int	12634	24161	36794	0	18.664	1020	445.225
rnd-6_family-78#LTR/ERVL	MERVL_2A-int	18	36094	36112	10.81	19.804	873	531.473
rnd-6_family-8363#Unknown	MER89-1	2090	32885	34975	475.43	13.627	1329	233.269
rnd-1_family-261#Unknown	MER89-2	1746	30703	32449	54.03	8.943	814	215.67
rnd-1_family-264#Unknown	MER89-3	1732	30695	32426	21.61	11.525	809	181.581
rnd-1_family-297#Unknown	MamRTE1	16981	3036	20016	10.81	14.861	768	310.017
rnd-5_family-895#Unknown	B4A	441	19448	19889	187.29	15.624	5117	395.869
rnd-1_family-14#Unknown	PB1D9	72	19556	19628	360.17	19.24	55	87.345
rnd-6_family-2506#Unknown	Charlie1	184	17654	17838	21.61	11.06	340	292.985
rnd-3_family-1241#Unknown	X6B_LINE	28	16778	16806	669.92	15.153	7185	183.254
rnd-1_family-180#LTR/ERVK	AmnSINE1	13852	60	13912	6328.25	17.545	3540	317.604
rnd-5_family-424#Unknown	X6A_LINE	7384	5384	12768	104.45	9.24	323	450.313
rnd-6_family-1556#LTR/ERVK	L2d2	7711	4880	12591	0	22.381	2184	919.837
rnd-6_family-1555#LTR/ERVK	L2	1064	10333	11397	3.6	11.37	405	504.499
rnd-6_family-1505#LTR/ERV1	RodERV21-int	9250	224	9475	32.42	20.764	330	579.758
rnd-1_family-218#Unknown	L2a	9056	266	9322	223.31	13.053	3694	275.004
rnd-5_family-2328#LTR/ERVK	OldhAT1	7320	1513	8832	36.02	17.335	1556	385.813
rnd-1_family-279#LTR/ERVK	L3	382	7352	7734	93.65	14.141	1743	424.943
rnd-1_family-325#LTR/ERVK	Lx6	2687	4488	7175	0	17.535	206	271.85
rnd-6_family-1186#Unknown	PB1D9-2	433	6503	6936	10.81	21.939	499	100.735
rnd-1_family-338#Unknown	ORR1D1	275	6334	6609	1483.91	11.394	827	235.015
rnd-6_family-1009#Unknown	B4-1	5836	346	6183	180403.68	15.929	27931	142.358
rnd-1_family-343#Unknown	IAPLTR_MA	1312	4648	5960	241.32	12.839	930	225.294
rnd-1_family-30#LINE/L1	L1MA4	1364	4190	5554	252.12	11.256	18008	647.124
rnd-1_family-307#LTR/ERVK	MIRc	2974	2576	5551	18.01	17.402	1044	566.151
rnd-3_family-107#LINE/L1	L1MA4	1893	3602	5495	75.64	13.565	12972	400.029
rnd-1_family-236#Unknown	ORR1D2	5192	194	5386	82.84	4.668	719	101.305
rnd-4_family-301#Unknown	PB1D9-3	5140	173	5313	4523.78	16.437	6395	120.543
rnd-5_family-100#Unknown	AmnSINE2	4926	200	5126	36.02	17.965	784	231.88
rnd-6_family-642#LINE/L1	L1MA9	1839	3095	4934	57.63	13.593	2764	184.458
rnd-5_family-3#LINE/L1	L1MA4	893	3980	4872	126.06	14.917	19996	856.541
rnd-6_family-374#Unknown	B4A-2	3909	801	4710	21.61	21.615	14691	266.721
rnd-1_family-38#Unknown	L1MA4	1728	2746	4474	90.04	12.179	5620	551.282
rnd-4_family-13#LINE/L1	L1MA4	1090	3325	4414	54.03	19.838	15229	552.29
rnd-2_family-11#LINE/L1	L1MA4	1291	2991	4282	43.22	17.776	11615	981.585
rnd-4_family-339#LINE/L1	L1MA4	2831	1357	4188	93.65	13.078	3539	233.812
rnd-1_family-127#Unknown	B4	3307	817	4124	10.81	20.087	666	263.556
rnd-1_family-118#Unknown	rnd-1_family-118#Unknown	3257	580	3837	14.41	15.928	100	98.9
rnd-6_family-611#Unknown	MTD	3802	35	3837	43.22	13.15	1386	312.177
rnd-5_family-116#Unknown	PB1D9	87	3722	3809	172.88	17.621	4713	92.691
rnd-1_family-50#Unknown	MTD	357	3426	3784	15840.43	15.824	4610	256.5
rnd-5_family-330#LTR/ERVL	MERVL_2A-int	12	3720	3732	10.81	23.342	2763	554.919
rnd-6_family-125#Unknown	B4	3277	192	3469	226.91	14.732	2123	345.742
rnd-6_family-1490#Unknown	MT2A	3395	73	3468	223.31	21.718	4755	321.26
rnd-6_family-805#Unknown	L1MC	234	3139	3374	10.81	17.799	421	593.931
rnd-1_family-64#Unknown	MTD	144	3146	3289	965.26	16.245	2025	167.282
rnd-6_family-170#LINE/L1	L1MA4	1197	2081	3278	201.7	19.907	25410	671.503
rnd-5_family-478#LTR/ERVK	Zaphod3	1404	1871	3275	54.03	17.479	1489	259.289
rnd-1_family-43#LINE/L1	L1MA4	699	2567	3266	108.05	10.242	6189	522.366
rnd-1_family-254#Unknown	MT2A	3239	12	3251	284.54	12.817	1127	47.152
rnd-6_family-2068#LTR/ERVK	L2a	2484	742	3226	10.81	18.621	503	541.356
rnd-3_family-186#LINE/L1	L1MA4	1201	2000	3201	36.02	18.217	2907	239.458
rnd-4_family-975#LINE/L1	L1MA4	1132	1863	2996	39.62	11.064	7139	200.011
rnd-4_family-360#LINE/L1	L1MA4	954	2034	2988	32.42	20.842	1639	139.977
rnd-6_family-155#LINE/L1	L1MA4	913	1912	2825	154.87	12.841	2946	431.605
rnd-3_family-5#LINE/L1	L1MA4	902	1787	2689	136.87	17.279	14787	1485.463
rnd-4_family-345#LINE/L1	L1MA4	1798	810	2609	39.62	10.881	15413	409.257
rnd-3_family-968#Unknown	MTD	2442	129	2571	792.38	20.155	7360	274.342
rnd-6_family-71#LTR/ERV1	RodERV21-int	71	2427	2498	3.6	23.199	509	615.354
rnd-6_family-1636#Unknown	L1MA4	1709	767	2477	662.72	15.113	15227	430.814
rnd-4_family-490#Unknown	MTD	408	1898	2306	1343.45	17.52	6135	342.217
rnd-4_family-18#Unknown	MT2A	10	2279	2289	252.12	25.286	5719	263.328
rnd-6_family-658#Unknown	B4	726	1558	2284	1213.78	20.453	12811	103.361
rnd-1_family-225#Unknown	MT2A	10	2270	2280	821.2	14.387	105	56.524
rnd-1_family-20#Unknown	Lx7	2180	6	2186	252.12	12.805	252	124.714
rnd-1_family-54#Unknown	Lx6	1	2149	2150	590.68	19.792	8717	379.763
rnd-4_family-168#Unknown	B4A	14	1999	2013	10.81	27.113	6144	252.963
rnd-6_family-4368#LTR/ERV1	RodERV21-int	1245	657	1902	3.6	20.484	167	801.437
rnd-1_family-128#Unknown	X12_DNA	1832	65	1898	1004.88	13.241	1311	214.153
rnd-1_family-154#Unknown	B4A	152	1717	1869	1916.12	15.455	983	206.479
rnd-1_family-283#Unknown	PB1D9	66	1686	1753	331.36	10.959	811	90.277
rnd-4_family-6#Unknown	Lx8	0	1739	1739	0	23.759	1014	199.778
rnd-6_family-3779#LTR/ERVK	RodERV21-int	982	726	1709	32.42	16.733	289	758.564
rnd-5_family-830#Unknown	MER67B	1622	69	1691	3.6	9.426	416	273.877
rnd-6_family-3#Unknown	PB1D9	1037	639	1676	6490.33	16.587	128223	186.901
rnd-5_family-2181#Unknown	Lx7	1531	73	1604	7.2	23.045	3878	656.455
rnd-6_family-3884#Unknown	PB1D9	171	1389	1560	129.66	20.217	1746	89.546
rnd-1_family-234#Unknown	LTR88c	4	1528	1532	158.48	13.847	30	65.333
rnd-5_family-969#LINE/L1	Lx6	418	1034	1452	7.2	25.687	1005	256.679
rnd-1_family-272#Unknown	L3	1017	377	1394	61.23	11.22	1197	254.82
rnd-6_family-1438#Unknown	PB1D9	184	1203	1387	2758.93	21.448	2322	78.235
rnd-4_family-366#Unknown	PB1D9	909	367	1276	1228.19	17.843	46288	155.591
rnd-5_family-2325#Unknown	OldhAT1	184	1046	1230	486.23	12.653	822	298.404
rnd-6_family-4#Unknown	PB1D9	176	1041	1217	8302	18.861	30445	156.013
rnd-6_family-11593#Unknown	MamRTE1	311	902	1214	3.6	13.321	707	321.231
rnd-3_family-54#Unknown	Lx7	940	249	1189	18.01	22.382	5552	412.282
rnd-2_family-150#Unknown	MTD	403	757	1160	868.02	18.757	4539	190.234
rnd-6_family-9180#Unknown	B4	354	791	1144	1037.3	19.232	4559	72.819
rnd-6_family-7109#LINE/L1	L1M8	102	978	1080	97.25	12.767	4842	287.817
rnd-1_family-246#Unknown	MTE2b	18	1030	1048	396.19	14.557	60	68.05
rnd-6_family-969#LINE/L1	L1M4c	54	953	1007	118.86	20.449	1069	84.099
rnd-4_family-61#Unknown	LX3	671	332	1002	388.99	20.983	16572	115.701
rnd-6_family-2443#LTR/ERV1	rnd-6_family-2443#LTR/ERV1	74	914	988	0	22.293	455	305.163
rnd-5_family-479#Unknown	MIR3	227	760	987	32.42	19.101	1664	212.499
rnd-6_family-4075#Unknown	MER5A	953	16	970	43.22	20.802	308	487.688
rnd-4_family-11#Unknown	LX3	300	645	945	72.03	13.64	1052	156.088
rnd-6_family-1000#Unknown	B4	535	364	899	716.75	19.262	4781	104.79
rnd-5_family-320#Unknown	B4	511	387	898	2290.7	18.422	11677	123.346
rnd-6_family-1852#Unknown	B4A	831	56	888	7.2	26.555	2200	223.52
rnd-6_family-349#Unknown	MTD	198	688	886	2427.57	20.325	13753	305.005
rnd-6_family-1205#Unknown	rnd-6_family-1205#Unknown	0	875	875	0	19.191	384	308.466
rnd-5_family-1722#LINE/L1	L1MB7	14	852	866	0	26.802	1122	195.105
rnd-6_family-1794#Unknown	B4A	36	830	866	39.62	22.54	6418	128.545
rnd-6_family-244#Unknown	Lx7	837	24	861	3.6	24.579	3601	404.068
rnd-5_family-636#Unknown	B4	488	362	850	3418.05	13.46	30282	153.776
