TE	sense	antisense	total	RNAseq	div	copies	length
KenoDr1	7828	69721	77549	0	15.172	89	1767.045
Polinton-3_DR	32544	3576	36121	0	16.42	35	3702.971
EnSpm-N49_DR	992	30010	31003	0			
BHIKHARI-5-I_DR	1106	29414	30520	13.46	12.655	543	1654.667
Polinton-2_DR	14525	12548	27072	0	16.42	35	3702.971
DIRS-3_DR	5704	20978	26683	0	19.952	398	707.812
ERV3_DR-I	377	26125	26502	0	15.236	61	715.967
Polinton-1_DR	20324	5739	26062	296.18	19.432	2583	194.282
LTR1B_DR	179	22143	22322	0	15.611	414	389.534
ERVN1-I_DR	191	21751	21942	13.46	9.974	362	429.506
L2-17_DRe	20020	527	20547	13.46	13.253	567	437.236
DIRS-2_DR	980	19523	20503	0	11.782	342	2020.541
EnSpm-N37_DR	373	19828	20201	309.64			
Copia-13_DR-LTR	158	17281	17438	0	9.949	214	516.112
Polinton-4_DR	4719	12298	17017	175.01			
Penelope-2_DR	74	15283	15357	0	15.962	71	311.479
Copia-13E_DR-LTR	157	14771	14927	0	9.949	214	516.112
Copia-13G_DR-LTR	597	14136	14734	0	9.949	214	516.112
Gypsy120-I_DR	1271	13295	14566	0	6.631	13	2588.462
ERV4_DR-I	646	12408	13054	0	2.621	87	1700.713
ERV1-3-I_DR	759	12252	13011	0	14.705	518	752.645
Copia-13B_DR-LTR	157	12408	12564	0	9.251	538	722.467
Gypsy133-LTR_DR	196	12190	12386	0	13.379	78	727.731
DIRS-2B_DR	747	11370	12117	0	11.782	342	2020.541
DIRS1b_DR	1913	10036	11949	0	6.089	1358	3453.245
CryptonH-1_DR	1102	10240	11342	0	13.966	159	409.145
DIRS-7_DR	1048	10169	11217	215.4	8.902	1061	714.132
Kolobok-1_DR	927	10168	11095	26.93	14.032	540	560.528
L1-11_DR	194	9977	10171	67.31	15.58	2274	365.979
Copia-13D_DR-LTR	218	9888	10106	13.46			
Gypsy120-LTR_DR	225	9249	9474	498.12	19.917	224	156.121
Gypsy-17-I_DR	184	9091	9275	0	5.48	5	4347.2
Gypsy37-I_DR	1485	7470	8955	0	12.566	83	880.831
Gypsy-169-I_DR	470	8484	8953	0	11.337	467	1545.619
Gypsy108-I_Dr	349	8580	8929	0	17.717	125	1915.656
L1-111_DR	141	8702	8843	0	7.644	45	1107.2
Gypsy-239_DR-I	794	7961	8755	0			
Helitron-4_DR	486	7918	8404	13.46	15.359	4815	861.104
BHIKHARI-2-I_DR	509	7875	8384	0	9.791	46	1656.804
LRS_DR	1165	6927	8092	13.46	17.092	596	1024.651
Gypsy98-I_Dr	5165	2578	7742	1952.07	21.559	37	1881.757
ERV1-2-LTR_DR	72	7571	7643	26.93	9.616	103	611.155
ERV1-2-I_DR	449	6937	7386	0	15.918	33	2455.576
Ginger1-1_DR	244	6891	7135	148.09	11.63	110	609.173
Gypsy-21-I_DR	866	6267	7133	0	5.15	14	4809.714
BEL34-I_DR	868	6102	6970	0	3.07	10	2613.1
R2Dr	11	6644	6655	0	20.158	26	528.808
LTR-19_DR-LTR	6512	73	6585	148.09			
Helitron-1_DR	544	5865	6409	107.7	16.235	1156	422.33
Gypsy133-I_DR	391	5961	6352	0	12.8	8	2773.25
Helitron-2_DR	145	5838	5984	2625.2	19.373	12098	252.349
Gypsy-247_DR-I	568	5329	5897	0			
Harbinger-1_DR	4196	1606	5802	13.46	13.255	556	292.91
Gypsy161-I_DR	302	5483	5784	0	9.101	135	2766.185
Ginger1-2_DR	265	5385	5650	67.31	17.105	528	173.714
Gypsy59-I_DR	716	4541	5256	0	13.659	34	2145.706
Gypsy105-I_Dr	322	4460	4781	0	9.565	31	2588.452
Gypsy-249_DR-I	124	4284	4408	0			
EnSpm-18_DR	132	4237	4370	0	17.014	199	468.281
BEL21-I_DR	495	3826	4321	0	7.1	6	3221.5
DIRS1c_DR	1164	2988	4152	0			
Gypsy98-LTR_Dr	26	4014	4040	3931.07	11.408	121	515.909
EnSpm-6N1_DR	2405	1407	3812	94.24	16.551	9839	122.253
Gypsy101-I_DR	112	3524	3635	0	8.008	156	3682.987
Harbinger-5_DR	356	3208	3564	148.09	20.421	879	240.736
BEL-66_DR-I	24	3538	3562	0			
Gypsy36-I_DR	1565	1983	3548	0	12.144	54	1028.352
Copia1-I_DR	288	3237	3525	0	19.846	52	1053.635
Kolobok-3_DR	601	2903	3504	0	16.576	661	170.334
Gypsy150-I_DR	1391	2050	3441	0	16.478	146	424.164
Gypsy-251_DR-LTR	23	3418	3441	0			
Gypsy-168-I_DR	67	3354	3421	0	21.224	157	1391.35
Gypsy-171_DR-I	358	2992	3350	0	23.984	31	1222.581
Gypsy44-I_DR	498	2836	3334	0	17.63	53	1292
DNA-AT-3_DR	520	2676	3196	13.46	11.048	393	623.242
Gypsy-168-LTR_DR	10	3154	3165	26.93	13.6	857	374.887
REX1-2_DR	62	3026	3088	13.46	8.243	1127	395.637
DIRS-15_DR	97	2930	3027	471.19	15.886	363	414.942
L1-88_DR	605	2382	2987	0	6.009	35	1165.857
ERV1-10_DR-I	618	2367	2985	13.46	5.336	67	2527
BEL8-I_DR	428	2486	2914	0	15.718	50	1631.04
Gypsy138-I_DR	379	2521	2900	0	14.182	138	661.014
L1-49_DR	0	2871	2871	0	14.067	252	529.623
Dada-tA_DR	459	2410	2868	0	9.772	244	999.279
DIRS-N4_DR	194	2648	2841	0	18.252	532	295.992
ERVN1-LTR_DR	0	2789	2789	94.24	10.859	1092	246.619
Gypsy105-LTR_Dr	32	2752	2784	94.24	4.341	49	637.347
hAT-N113_DR	0	2768	2768	0	14.426	265	184.042
BEL-69_DR-I	36	2680	2716	0			
hAT-2n1_DR	2697	1	2698	1979	12.17	1918	190.008
DIRS-10_DR	231	2446	2677	0	17.675	1413	528.909
Gypsy159-I_DR	0	2669	2669	0	18.197	40	1335.425
ERV1-N5-I_DR	2398	252	2650	0	6.397	203	2287.429
L1-21_DR	1570	1053	2623	0	17.576	169	475.456
DIRS-18_DR	653	1961	2614	0	10.027	790	1826.782
Gypsy108-LTR_Dr	312	2284	2596	13.46	13.497	514	467.774
Gypsy-21-LTR_DR	18	2574	2592	0	4.03	33	1175.061
CryptonV-1_DR	293	2267	2560	40.39	14.61	3340	232.951
Gypsy59-LTR_DR	456	2098	2554	0	7.659	142	471.613
Tx1-45_DR	939	1589	2528	0	17.39	68	785.294
L2-32_DRe	1109	1377	2486	0	13.625	641	380.287
ZFERV-2N1-I_DR	270	2206	2476	0	17.219	801	191.062
BEL20-LTR_DR	2	2466	2468	0	10.558	33	426
Gypsy-182_DR-I	1131	1275	2406	0	17.142	26	1136.038
Gypsy-166-I_DR	116	2243	2359	0	16.187	55	1532.782
Gypsy62-LTR_DR	63	2286	2349	13.46	15.478	40	394.325
