Name	sense	antisense	total	RNAseq	div	copies	length
ERVH_OC_I-int	46794	473606	520401	3.3	29.663	149	442.06
ERVH_OC_I	36193	471238	507431	13.18	16.592	268	1802.873
L1C_OC	147149	13107	160256	332.83	12.897	7717	157.452
L1M2	139676	1785	141461	227.38	22.351	12524	73.052
L1A2_OC	120193	338	120531	95.56	11.824	1500	174.308
L1A_Oc	11432	99193	110625	326.24	8.048	25553	615.003
L1A_Oc	3319	98982	102301	62.61	15.371	12196	922.696
ERV2-2_OC-I	1585	89918	91503	49.43	23.435	378	690.13
L1A_Oc	4049	82127	86175	398.73	5.25	11487	1367.507
L1A_Oc	65947	3864	69811	342.71	22.215	15288	142.955
L1A_Oc	13451	55364	68815	108.75	15.382	17221	1188.762
L1A_Oc	5923	61646	67569	56.02	6.432	3518	2250.472
L1A_Oc	3186	62366	65551	102.16	6.846	2678	2575.619
L1A_Oc	2694	58901	61595	23.07	26.395	6703	435.745
L1A_Oc	9786	50302	60088	148.29	12.614	21968	707.801
ERV2-1_OC-I	10744	49070	59813	6.59	11.03	761	1142.548
L1A_Oc	5322	52562	57884	207.61	6.398	2905	1357.59
L1MB8	52785	2728	55512	263.63	24.25	13749	116.264
L1A_Oc	949	52908	53857	88.97	22.181	4132	149.989
L1A_Oc	4357	47366	51722	92.27	12.067	3112	542.391
L1A_Oc	976	46357	47333	9.89	8.604	575	1039.732
L1A_Oc	9901	35059	44960	42.84	17.765	8089	1384.719
L1A_Oc	3850	39706	43556	29.66	16.029	802	582.824
LTR10B1_OC	42967	164	43131	0	6.765	100	287.55
ERV2-1_OC-I	30637	4052	34689	0	22.1	30	335.367
LTR10B1_OC	34178	182	34360	0	9.871	69	311.957
LTR40b	461	32351	32812	0	25.998	905	221.284
MER65-int	30836	1942	32778	0	23.243	562	452.201
L1A_Oc	3563	28185	31748	276.81	16.691	11246	364.16
L1A_Oc	28676	2510	31186	428.39	4.097	7095	1426.566
L1A_Oc	3727	27086	30813	243.85	19.864	38572	896.747
LINE1E_OC	2234	27884	30118	724.97	19.885	90501	171.491
ERVNOC_I	5758	21463	27220	4221.31	9.02	1367	1297.627
ERVH_OC_I-int	2034	21030	23064	6.59	7.755	382	286.471
L1A_Oc	6213	16830	23043	471.23	18.883	72739	372.27
