TE	sense	antisense	total	RNAseq	div	copies	length
RMER17A_Rn-I	20485	965037	985522	10.03	14.468	1461	503.981
RMER19A	320999	201448	522447	297.44	16.968	2075	495.047
RNLTR4d_I	233068	121135	354203	43.45	9.864	1200	874.158
ORR1A_Rn	131908	216	132124	1343.48	10.784	9124	283.408
ORR1A3	125518	209	125727	748.61	13.13	4731	265.192
RMER19B	3645	109822	113466	2219.09	19.669	6138	540.892
MYSERV_Rn	3413	100868	104281	10.03	14.549	1383	1186.206
L1_Rat3	16103	58122	74225	0	11.681	37672	862.882
RNIAP1b	55093	10003	65096	0	12.223	178	2779.006
RNLTR21-int	52129	10399	62528	197.18	12.3	191	947.801
MurERV4_19	52142	8419	60561	20.05	17.009	1149	680.233
RNLTR11-int	22112	20046	42157	20.05	14.891	564	841.555
L1_Rn	11652	28666	40318	0	5.075	36007	1267.603
L1_Rat4	24783	11288	36071	0	12.75	43802	885.225
RMER17C-int	12921	20063	32984	6.68	19.233	1740	413.943
RMER3-int	23531	837	24368	698.48	9.267	3016	836.317
RNLTR14-int	24166	46	24212	243.97	12.675	340	897.762
Lx2A	83	21505	21588	0	13.707	1516	767.985
L1_Mur3	839	20248	21087	0	23.569	27039	456.288
RNERVK9	1568	17919	19486	16.71	11.008	1007	1684.967
NICER-int	12892	5212	18104	277.39	8.336	335	1380.699
RLTR51_Rn	963	16519	17482	10.03	21.013	1290	227.975
RNLTR21	14233	783	15017	13.37	6.335	325	428.834
MurERV4	7991	6646	14637	10.03	20.907	1300	577.051
RNLTR4-int	13522	966	14488	658.37	7.301	2504	1179.941
RNLTR8E	150	13383	13533	247.31	6.495	60	268.633
RNLTR3-int	12687	515	13202	100.26	7.971	1103	952.989
L1_Mur2	1040	12055	13095	0	18.444	19642	535.75
RNERV14	11046	612	11657	13.37	23.126	152	1540.421
Lx3A	912	10710	11622	0	13.292	13551	819.554
RNERVK8c	3106	8309	11415	26.74	9.454	665	1155.38
RNLTR12-int	9326	1447	10773	66.84	4.425	259	1841.533
MYSERV6	77	10666	10743	30.08	20.462	3152	501.898
ID_Rn2	5804	4914	10718	56626.85	6.289	75260	87.255
ID_Rn1	5823	4872	10695	80639.12	3.252	63235	91.324
MTB	8983	1652	10635	38422.98	9.255	4143	326.722
NICER19B-int	9513	917	10431	20.05	6.356	302	1121.209
RNLTR17-int	9102	943	10045	183.81	22.106	412	581.138
MTB_Rn	8280	1698	9978	39385.47	9.285	6512	355.442
RNERVK8d	1634	8277	9911	23.39	4.343	167	1496.09
Lx	1306	8422	9729	0	13.837	42810	778.672
BC1_Rn	5184	4449	9632	429784.57	10.178	45998	96.607
MTC	8571	1019	9590	19179.74	18.314	26500	290.369
RNIAP1a	603	8220	8823	0	3.129	548	1761.219
RNERVK23	1759	6944	8703	0	22.351	72	663.361
B2_Rat2	1107	7529	8636	43726.73	7.474	29863	159.02
NICER1C_Rn_I	7188	1026	8214	63.5	5.308	201	1963.692
NICER19A-int	6486	930	7416	6.68	9.399	309	1626.793
ORR1A2	7119	216	7335	2372.82	11.612	8153	283.068
L1_Mur1	1781	5498	7279	0	15.657	7378	597.198
RAL_Rn-int	5557	1515	7072	13.37	9.09	935	1492.97
RNERVK8	4471	1660	6131	56.81	10.155	902	1947.534
RNLTR1a-int	5615	451	6066	90.23	5.877	239	1023.728
L1_Rn2	1868	3494	5362	0	7.847	29597	1027.389
Lx2	800	4413	5213	0	14.739	22225	647.688
RNLTR2-int	4919	274	5193	60.16	7.883	303	987.944
L1_Rat1	1731	3370	5101	0	4.294	33018	1149.086
RNLTR8D	151	4691	4842	70.18	8.557	145	326.455
RNLTR8C2_I	3433	1228	4661	20.05	12.333	646	687.002
RNLTR8A	44	4497	4541	678.43	7.326	277	398.953
RNLTR3a-int	4070	426	4496	106.94	4.532	313	1251.565
L1_Rat2	1764	2680	4444	0	7.684	21402	853.571
Lx3B	241	4180	4421	0	15.105	6043	625.329
RatSatRep2	4105	10	4115	6.68	19.466	26017	1006.743
ORR1A3-int	3984	56	4040	5277.02	17.273	1773	501.567
RNNICER2-int	3438	591	4028	137.02	4.32	479	2321.833
ID2	2727	928	3655	484.59	25.084	6067	71.324
RNLTR7-int	3122	510	3632	16.71	10.801	1094	1037.984
NICER2v_Rn_I	3041	563	3604	33.42	23.747	371	1101.73
ID4	2740	837	3577	665.06	26.889	25687	71.582
Lx3C	204	3354	3558	0	16.222	6367	629.84
RLTR11D	3187	0	3187	16.71	23.076	1082	377.135
RNLTR5-int	2970	188	3158	50.13	10.318	998	1052.479
RNLTR4d	22	3117	3139	1607.5	7.043	124	246.218
MYSERV	3	2921	2924	0	24.734	1228	447.252
RNLTR8B	23	2882	2906	227.26	14.957	799	388.563
Lx2A1	125	2720	2845	0	15.452	2910	582.962
RNLTR4c	207	2628	2835	7322.32	9.443	541	320.305
RNLTR8C	169	2478	2647	56.81	3.793	544	396.993
RMER17B_Rn	796	1808	2605	26.74	13.622	2728	229.887
RNLTR3d	2538	5	2543	110.29	9.464	600	415.052
