piRNA Div_Group
1 5.78588681943026 Low
2 4.89585006448712 Medium-high
3 4.84357406327242 Low
4 4.68067744784507 High
5 4.51767077836744 Medium-low
6 4.36010826116963 Medium-high
7 4.20708813298155 Medium-high
8 4.1845822259456 Low
9 4.11007698207658 Low
10 3.80800052391161 Medium-low
11 3.77602896928522 High
12 3.70470683628065 High
13 3.70470683628065 High
14 3.6928862040451 Low
15 3.64077442280209 High
16 3.6308602747397 Medium-low
17 3.62841411284362 High
18 3.57573853057143 Medium-high
19 3.50177990121423 Medium-low
20 3.49367835881815 High
21 3.46167591402437 Medium-low
22 3.44286836460925 High
23 3.38958878211806 High
24 3.11127776523177 High
25 3.0318050039885 Medium-high
26 2.99940285613592 High
27 2.97062911843013 High
28 2.97062911843013 High
29 2.95932771721494 High
30 2.95932771721494 Medium-low
31 2.95549427160501 High
32 2.94772435061747 High
33 2.87538148223488 High
34 2.87072620243869 High
35 2.84995597116385 High
36 2.84169524348869 High
37 2.8246869155065 High
38 2.79969748375707 High
39 2.79041236929747 High
40 2.78664201733238 High
41 2.78474449518483 Medium-high
42 2.75523945424164 High
43 2.72793944095547 High
44 2.7235828429525 High
45 2.71918209878498 High
46 2.69179791822593 High
47 2.67006355564322 Medium-high
48 2.59156272571868 High
49 2.59156272571868 Medium-high
50 2.58558781035333 Medium-high
51 2.58256924171857 High
52 2.57338557295785 High
53 2.55441426575233 High
54 2.53457622848186 Medium-high
55 2.53117996596946 High
56 2.52082885366224 High
57 2.49935573245115 High
58 2.49567134227571 High
59 2.49195542749357 Medium-low
60 2.48820744398013 High
61 2.47288343212017 High
62 2.47288343212017 High
63 2.46501377326226 High
64 2.45293526800651 High
65 2.44469217480012 Medium-high
66 2.4362895921353 High
67 2.41454312408638 Medium-high
68 2.38692301115699 High
69 2.36748278601039 High
70 2.34713141795028 High
71 2.33658655851939 Medium-high
72 2.33121653557134 High
73 2.3202730883105 High
74 2.3202730883105 High
75 2.29752248042652 Medium-high
76 2.29164360719166 High
77 2.29164360719166 Medium-high
78 2.26099278466703 High
79 2.26099278466703 High
80 2.25459421315028 High
81 2.24150711513893 High
82 2.23481264396146 High
83 2.22801336254399 High
84 2.22801336254399 High
85 2.22801336254399 High
86 2.22801336254399 High
87 2.22110593674898 Medium-high
88 2.21408687076967 Medium-high
89 2.20695249650595 High
90 2.20695249650595 High
91 2.19969896205278 High
92 2.19232221921091 Medium-low
93 2.18481800991849 High
94 2.18481800991849 High
95 2.1771818514896 High
96 2.16940902053167 Medium-high
97 2.16149453539733 High
98 2.16149453539733 High
99 2.14521926785961 High
100 2.14521926785961 High
101 2.14521926785961 High
102 2.14521926785961 High
103 2.14521926785961 High
104 2.08291172921606 High
105 2.07323343350912 High
106 2.06333453042499 High
107 2.05320472784584 High
108 2.05320472784584 High
109 2.04283299617074 Medium-high
110 2.02131549753711 High
111 2.01014328760853 High
112 2.01014328760853 High
113 2.01014328760853 High
114 2.01014328760853 High
115 1.98689783266986 High
116 1.94951598699599 High
117 1.89407239299079 Medium-high
118 1.89407239299079 High
119 1.87903033059763 High
120 1.83050031226958 High
121 1.83050031226958 High
122 1.79484571980928 High
123 1.79484571980928 High
124 1.75600003243698 High
125 1.73519141675663 High
126 1.73519141675663 High
127 1.71333538950773 High
128 1.6903208918986 High
129 1.66601820777148 High
130 1.64027453526425 High
131 1.6129081612971 High
132 1.58370067406032 High
133 1.55238636291915 High
134 1.55238636291915 High
135 1.51863749120133 High
136 1.51863749120133 High
137 1.51863749120133 High
138 1.51863749120133 High
139 1.51863749120133 High
140 1.51863749120133 High
141 1.51863749120133 High
142 1.44207964479999 High
143 1.44207964479999 High
144 1.44207964479999 High
145 1.44207964479999 High
146 1.44207964479999 High
147 1.39806232465621 High
148 1.39806232465621 High
149 1.39806232465621 High
150 1.39806232465621 High
151 1.34907525551337 High
152 1.34907525551337 High
153 1.34907525551337 High
154 1.34907525551337 High
155 1.34907525551337 High
156 1.34907525551337 Medium-high
157 1.29385169099756 High
158 1.29385169099756 High
159 1.29385169099756 High
160 1.29385169099756 High
161 1.23056883934091 High
162 1.23056883934091 High
163 1.23056883934091 High
164 1.23056883934091 High
165 1.23056883934091 High
166 1.23056883934091 High
167 1.1564657246179 High
168 1.1564657246179 High
169 1.1564657246179 High
170 1.1564657246179 High
171 1.1564657246179 High
172 1.1564657246179 High
173 1.1564657246179 High
174 1.06706328182522 High
175 1.06706328182522 High
176 1.06706328182522 Medium-high
177 1.06706328182522 High
178 1.06706328182522 High
179 1.06706328182522 High
180 1.06706328182522 High
181 0.954355766161529 High
182 0.954355766161529 High
183 0.954355766161529 High
184 0.954355766161529 High
185 0.954355766161529 Medium-high
186 0.954355766161529 High
187 0.954355766161529 High
188 0.954355766161529 High
189 0.954355766161529 High
190 0.954355766161529 High
191 0.801739642811538 High
192 0.801739642811538 High
193 0.801739642811538 High
194 0.801739642811538 High
195 0.801739642811538 High
196 0.801739642811538 High
197 0.801739642811538 High
198 0.801739642811538 High
199 0.801739642811538 High
200 0.801739642811538 High
201 0.801739642811538 High
202 0.801739642811538 High
203 0.801739642811538 High
204 0.801739642811538 High
205 0.801739642811538 High
206 0.801739642811538 High
207 0.564364097226187 High
208 0.564364097226187 High
209 0.564364097226187 High
210 0.564364097226187 High
211 0.564364097226187 High
212 0.564364097226187 Medium-high
213 0.564364097226187 Medium-high
214 0.564364097226187 High
215 0.564364097226187 Medium-high
216 0.564364097226187 High
217 0.564364097226187 High
218 0.564364097226187 High
219 0.564364097226187 High
220 0.564364097226187 High
