piRNA Div_Group
10 5.28544402930075 Low
11 5.14560482611117 Low
12 5.09376830055956 High
15 4.93006910310795 High
16 4.65112128441935 Low
17 4.49510454328951 Medium-high
18 4.38402165055227 Medium-low
19 4.35312361076771 Medium-low
20 4.34962180077408 Medium-low
21 4.31561534440663 Medium-high
22 4.30429243416016 Medium-high
23 4.26352825927075 Medium-low
24 4.22241065378317 Medium-low
25 4.21824945173049 Medium-high
26 4.1870195410642 High
27 4.15703620117207 High
28 4.10526450720933 High
29 4.05892857850398 Low
30 4.04668926040163 Medium-high
31 4.03760590489343 Medium-high
32 4.03254998764097 Medium-high
33 3.96704471421797 Low
34 3.87392212661375 High
35 3.87296530721842 Medium-high
36 3.86814933210139 Low
37 3.8257929065613 High
38 3.82365208319648 Low
39 3.82257770107677 Low
40 3.75480435106323 Low
41 3.74462691953869 Medium-high
42 3.7239775286338 Medium-high
43 3.71488375921729 Low
44 3.70512582496379 Low
45 3.7004009864176 Medium-high
46 3.67496727898855 High
47 3.65433629757039 Medium-low
48 3.61741997389608 Low
49 3.61104750728327 Medium-low
50 3.60339384000139 Low
51 3.55705402392317 Medium-high
52 3.50665934219636 Medium-high
53 3.41622840477498 Medium-low
54 3.41347785239089 Medium-low
55 3.29468305738961 Medium-low
56 3.27615665930035 Medium-low
57 3.23516532797664 Medium-high
58 3.19449067718128 Medium-low
61 3.06607722857802 Medium-low
62 2.89525734612788 Medium-low
63 2.82637627401742 High
65 2.79314647454314 High
66 2.78147978648923 Medium-high
67 2.71792410725239 Medium-high
68 2.68964656090634 Low
69 2.57303944209513 Medium-low
70 2.56662265661744 Medium-low
71 2.56662265661744 High
72 2.49662933488203 Medium-low
73 2.47322512445904 High
74 2.43117646948139 Medium-high
75 2.35407812138893 Medium-high
77 2.34340229811866 High
78 2.33245741390763 Medium-low
79 2.32122955514473 Medium-low
80 2.29786359888556 Medium-high
81 2.28569163403655 Medium-low
82 2.27316866447158 Medium-low
83 2.21911960509868 Medium-low
84 2.1736533716642 High
85 2.15737492545728 High
86 2.08537351080715 High
87 2.06533999076182 Medium-high
88 2.06533999076182 Medium-high
89 1.99901547547547 Medium-high
90 1.94840671263212 Medium-high
91 1.92070391830252 Medium-high
92 1.8593572584335 Medium-high
93 1.82509518183668 Medium-low
94 1.82509518183668 Medium-high
95 1.65224015749149 High
96 1.53051371838778 Medium-high
97 1.07826972585367 Medium-high
98 1.07826972585367 Medium-high
