piRNA Div_Group
1 5.81702824911185 Low
2 4.81805985985803 Low
3 4.80147437349835 Low
4 4.7025776013132 Low
5 4.55484389629201 Low
6 4.3810111190538 Medium-low
7 4.28558318192025 Low
8 4.18840437216198 Medium-low
9 4.14570703149953 Medium-high
10 4.01817659293058 Medium-low
11 3.93884304309699 Medium-low
12 3.86964949876277 Medium-low
13 3.74148206910399 High
14 3.49886019615203 Medium-high
15 3.23073468873099 Medium-high
16 3.19420469030334 Medium-low
17 3.02170199061933 Medium-low
18 2.94447319188362 High
19 2.87414376805872 Medium-high
20 2.77556574218564 High
21 2.71543097093772 High
22 2.63546779180576 Medium-high
23 2.58215510537308 Medium-low
24 2.5569432125293 Medium-high
25 2.54866757849381 High
26 2.53595072003111 High
27 2.48905766308788 Medium-high
28 2.4575950890584 Medium-high
29 2.44716658602586 Medium-high
30 2.4382806991677 High
31 2.41047715489474 Medium-high
32 2.40663180298319 Medium-low
33 2.39686677346501 Medium-high
34 2.39686677346501 Medium-high
35 2.38077113643666 High
36 2.37039976407338 High
37 2.3640559340583 Medium-low
38 2.35327251164019 Medium-high
39 2.35108332082803 Medium-high
40 2.32624446456839 Medium-high
41 2.31684793874901 Medium-high
42 2.28990732952853 Medium-low
43 2.25024997660338 Medium-high
44 2.2474728233081 High
45 2.2390331933397 High
46 2.17486222810557 Medium-high
47 2.16486894758756 Medium-low
48 2.15807668060741 Medium-low
49 2.10730123433412 Medium-high
50 2.0627738773018 Medium-high
51 2.04979361900472 Medium-high
52 2.04537919835656 Medium-high
53 2.03641342065408 High
54 2.03186015261227 High
55 2.0226078511737 High
56 2.01315413804897 Medium-low
57 1.99360600660851 High
58 1.96252796845696 Medium-high
59 1.93481475063781 Medium-high
60 1.92905339431677 Medium-high
61 1.91729619359875 Medium-high
62 1.91129603925046 Medium-low
63 1.87998500447049 High
64 1.86005416684113 Medium-high
65 1.86005416684113 Medium-high
66 1.86005416684113 Medium-high
67 1.8532019765298 Medium-high
68 1.84623993860046 Medium-high
69 1.84623993860046 Medium-high
70 1.83916447365447 Medium-high
71 1.83916447365447 Medium-high
72 1.83916447365447 Medium-low
73 1.82465804386409 Medium-high
74 1.81721898199675 High
75 1.81721898199675 Medium-high
76 1.80194731432331 Medium-high
77 1.80194731432331 Medium-low
78 1.80194731432331 High
79 1.79410526074531 High
80 1.78611899521483 Medium-high
81 1.77798311421838 Medium-high
82 1.76969190473641 High
83 1.75261895372532 High
84 1.74382400949098 Medium-high
85 1.74382400949098 Medium-high
86 1.74382400949098 Medium-high
87 1.74382400949098 Medium-high
88 1.74382400949098 Medium-low
89 1.74382400949098 Medium-low
90 1.74382400949098 Medium-high
91 1.73484726999904 Medium-high
92 1.72568106076422 Medium-high
93 1.71631721083577 High
94 1.71631721083577 High
95 1.70674700902989 High
96 1.70674700902989 Medium-high
97 1.70674700902989 High
98 1.69696115523019 Medium-high
99 1.68694970607373 Medium-high
100 1.67670201422779 Medium-high
101 1.67670201422779 High
102 1.67670201422779 High
103 1.67670201422779 High
104 1.66620666032753 Medium-low
105 1.64442296007698 Medium-high
106 1.64442296007698 Medium-low
107 1.64442296007698 Medium-high
108 1.64442296007698 Medium-high
109 1.63310717631553 Medium-high
110 1.621488647759 Medium-high
111 1.621488647759 Medium-high
112 1.58464291271712 High
113 1.57163198382481 High
114 1.57163198382481 Medium-high
115 1.55821919322794 High
116 1.55821919322794 Medium-low
117 1.55821919322794 Medium-high
118 1.55821919322794 Medium-high
119 1.55821919322794 Medium-high
120 1.54437892340943 Medium-high
121 1.53008302641344 Medium-high
122 1.53008302641344 Medium-high
123 1.53008302641344 Medium-high
124 1.53008302641344 Medium-high
125 1.53008302641344 Medium-high
126 1.51530047919763 Medium-high
127 1.51530047919763 High
128 1.51530047919763 Medium-low
129 1.49999697823398 Medium-high
130 1.48413446003698 High
131 1.48413446003698 Medium-high
132 1.48413446003698 High
133 1.48413446003698 Medium-high
134 1.46767053075983 Medium-high
135 1.45055778334584 High
136 1.43274297453949 Medium-low
137 1.43274297453949 Medium-high
138 1.43274297453949 Medium-high
139 1.43274297453949 High
140 1.43274297453949 Medium-high
141 1.43274297453949 High
142 1.43274297453949 High
143 1.41416602576145 High
144 1.41416602576145 Medium-high
145 1.41416602576145 High
146 1.39475880058097 Medium-high
147 1.39475880058097 High
148 1.39475880058097 High
149 1.39475880058097 Medium-high
150 1.37444359602498 High
151 1.37444359602498 Medium-high
152 1.37444359602498 High
153 1.37444359602498 Medium-high
154 1.37444359602498 Medium-high
155 1.37444359602498 High
156 1.37444359602498 Medium-high
157 1.37444359602498 High
158 1.37444359602498 High
159 1.37444359602498 High
160 1.3531312633789 Medium-high
161 1.33071884362523 Medium-high
162 1.30708655885475 Medium-high
163 1.30708655885475 High
164 1.30708655885475 High
165 1.30708655885475 Medium-high
166 1.30708655885475 Medium-high
167 1.30708655885475 High
168 1.28209393696844 Medium-high
169 1.28209393696844 High
170 1.28209393696844 High
171 1.28209393696844 High
172 1.25557475163727 High
173 1.22733031441774 High
174 1.22733031441774 High
175 1.22733031441774 High
176 1.22733031441774 High
177 1.22733031441774 High
178 1.22733031441774 Low
179 1.19712042992064 Medium-high
180 1.19712042992064 Medium-high
181 1.19712042992064 High
182 1.19712042992064 High
183 1.16465096337561 Medium-high
184 1.16465096337561 Medium-high
185 1.16465096337561 Medium-high
186 1.16465096337561 Medium-low
187 1.12955637388598 Medium-high
188 1.12955637388598 Medium-high
189 1.12955637388598 High
190 1.12955637388598 Medium-low
191 1.12955637388598 High
192 1.12955637388598 Medium-high
194 1.09137454982116 Medium-high
195 1.09137454982116 Medium-high
196 1.09137454982116 Medium-high
197 1.09137454982116 Medium-low
198 1.09137454982116 Medium-high
199 1.09137454982116 Medium-high
200 1.09137454982116 Medium-high
201 1.09137454982116 Medium-high
202 1.09137454982116 High
203 1.09137454982116 High
204 1.09137454982116 High
205 1.09137454982116 Medium-high
206 1.04950947830636 Medium-high
207 1.04950947830636 Medium-high
208 1.04950947830636 High
209 1.04950947830636 High
210 1.04950947830636 High
211 1.04950947830636 High
212 1.00317392799134 High
213 1.00317392799134 High
214 1.00317392799134 Medium-high
215 1.00317392799134 Medium-high
216 1.00317392799134 Medium-high
217 1.00317392799134 Medium-high
218 1.00317392799134 Medium-high
219 1.00317392799134 Medium-high
220 1.00317392799134 Medium-high
221 1.00317392799134 Medium-high
222 1.00317392799134 Medium-high
223 1.00317392799134 High
224 1.00317392799134 Medium-low
225 1.00317392799134 Medium-high
226 0.951297747176869 High
227 0.951297747176869 High
228 0.951297747176869 Medium-high
229 0.951297747176869 Medium-high
230 0.951297747176869 High
231 0.951297747176869 Medium-low
232 0.951297747176869 High
233 0.951297747176869 Medium-high
234 0.951297747176869 Medium-high
235 0.892373606957573 Medium-high
236 0.892373606957573 Medium-high
237 0.892373606957573 High
238 0.892373606957573 High
239 0.892373606957573 High
240 0.892373606957573 Medium-high
241 0.892373606957573 Medium-high
242 0.892373606957573 High
243 0.892373606957573 Medium-high
244 0.892373606957573 High
245 0.892373606957573 High
246 0.824180772288789 Medium-high
247 0.824180772288789 Medium-high
248 0.824180772288789 Medium-high
249 0.824180772288789 Medium-high
250 0.824180772288789 High
251 0.824180772288789 High
252 0.824180772288789 High
253 0.824180772288789 Medium-high
254 0.824180772288789 Medium-low
255 0.824180772288789 Medium-high
256 0.824180772288789 Medium-high
257 0.743249035174155 High
258 0.743249035174155 Medium-high
259 0.743249035174155 Medium-high
260 0.743249035174155 Medium-high
261 0.743249035174155 High
262 0.743249035174155 High
