piRNA Div_Group
1 4.71836196592966 Medium-high
2 4.71023666052133 Medium-high
3 4.6963431170893 Medium-low
4 4.66378739161526 Low
5 4.66347945922859 Medium-low
6 4.45396921702688 Medium-low
7 4.45120496993775 Medium-low
8 4.44546827582212 Medium-high
9 4.40393994860938 Medium-low
10 4.37805920033323 Medium-low
11 4.2959881930844 Medium-high
12 4.27343685527502 Medium-high
13 4.25872346642809 Medium-low
14 4.25266115284379 Medium-high
15 4.2093940201244 Medium-low
16 4.12918813002464 Medium-high
17 4.12211853937416 Medium-low
18 4.09867032003365 Medium-high
19 4.09332734492797 Medium-high
20 4.04102033996638 Medium-low
21 4.00844115622877 Medium-high
22 3.99372980297042 Medium-high
23 3.9727586504175 Medium-low
24 3.96312528358355 Medium-low
25 3.94382533096268 Medium-high
26 3.92787419354359 Medium-low
27 3.89723755746632 Medium-low
28 3.89700293912092 Medium-high
29 3.89259996959838 Medium-low
30 3.88389974741029 Low
31 3.87797399383625 Medium-high
32 3.87047204775178 Medium-high
33 3.86241487809741 Medium-high
34 3.84583774130874 Medium-low
35 3.84034666396923 Medium-low
36 3.82566244887332 Medium-high
37 3.80334094394764 Medium-low
38 3.79747822146973 Medium-high
39 3.78429468978863 Medium-high
40 3.77465630164333 Medium-low
41 3.76796941761907 Medium-high
42 3.73664810266147 Medium-high
43 3.73664810266147 Medium-low
44 3.73346786156488 Medium-high
45 3.73060854666932 Medium-low
46 3.72460017923265 High
47 3.69286905172535 Medium-low
48 3.69274386608761 Medium-high
49 3.68081231036977 Medium-high
50 3.66973344619222 Medium-high
51 3.66827883371413 Medium-high
52 3.6678812741991 Medium-high
53 3.66668640738802 Medium-low
54 3.66468762817349 Medium-low
55 3.66133575013371 Medium-high
56 3.65795780100479 Medium-high
57 3.62922046772446 Medium-low
58 3.62805952490983 Medium-high
59 3.60370328445146 Medium-low
60 3.58228110501144 Medium-high
61 3.56916786620305 Medium-low
62 3.56279759474581 Medium-high
63 3.55029142522602 High
64 3.54662603479021 Medium-low
65 3.51556847841224 Medium-high
66 3.51235595218106 High
67 3.51140655129507 Medium-high
68 3.51064553341614 Medium-low
69 3.49236660656459 Medium-low
70 3.48515724921524 Medium-high
71 3.4565722358037 High
72 3.43194783119902 Medium-high
73 3.43103386522118 Medium-low
74 3.42434945619505 Medium-low
75 3.39653288787739 Medium-low
76 3.39305195685578 High
77 3.38549752154281 Medium-high
78 3.38090096931442 Medium-low
79 3.37703299297281 Medium-high
80 3.35797152492596 High
81 3.34589713135917 Medium-high
82 3.3380348774905 Medium-low
83 3.31475371525913 High
84 3.29705862635262 Medium-low
85 3.29487341964248 Medium-high
86 3.2586667919887 Medium-high
87 3.2427301819848 Medium-low
88 3.23811830158199 Medium-high
89 3.2370470303433 Medium-low
90 3.22801548867489 Medium-high
91 3.2172980458054 Medium-high
92 3.21126976383759 Medium-high
93 3.18628331692126 Medium-low
94 3.17322947953994 Medium-low
95 3.15590953341691 Medium-high
96 3.15374929787319 Medium-high
97 3.14764284013586 Medium-high
98 3.14720336141961 Medium-high
99 3.13966336621377 Medium-high
100 3.12833177007279 Medium-low
101 3.10667618975174 Medium-high
102 3.10619321298168 Medium-high
103 3.10133367189406 High
104 3.10035520433279 Medium-high
105 3.09493386869637 Medium-high
106 3.09044733490596 High
107 3.09044733490596 Medium-high
108 3.08793464221426 High
109 3.08235500656418 Medium-low
110 3.06143884143569 Medium-high
111 3.05113936167199 Medium-high
112 3.04728238773113 Medium-high
113 3.04227255069757 Medium-low
114 3.041712317936 High
115 3.03946413188931 Medium-low
116 3.03946413188931 High
117 3.02104696365936 Medium-high
118 3.02104696365936 High
119 3.01153696827033 Medium-high
120 3.01033344187871 High
121 3.00912657097785 Medium-low
122 3.0024281570231 High
123 2.99562480836374 Medium-high
124 2.99249679044129 Medium-low
125 2.97258343227874 Medium-low
126 2.9632820398936 High
127 2.96058749456368 Medium-low
128 2.95651406844733 High
129 2.95583143404624 Medium-low
130 2.94755501606291 Medium-low
131 2.93982719932314 Medium-high
