piRNA Div_Group
1 5.19015661110691 High
2 4.86802851015742 Low
3 4.65330732621617 Medium-high
4 4.59414864177906 Medium-low
5 4.57334393805439 Medium-high
6 4.55976771362389 Low
7 4.54770220952274 Medium-low
8 4.50522448940197 Medium-low
9 4.42267735289852 Medium-low
10 4.37035032990882 Medium-low
11 4.26241633795983 Medium-low
12 4.19802682432011 Medium-high
13 4.17099818754526 Medium-low
14 4.10087684677832 Medium-high
15 4.0637896971169 Medium-low
16 4.03664883436238 Low
17 4.00152411182511 High
18 3.96098434032203 Medium-high
19 3.95413827785158 High
20 3.94900786693324 High
21 3.90552150340742 Medium-low
22 3.8974452951016 Medium-low
23 3.89685323104488 Medium-high
24 3.87614434380194 Medium-high
25 3.84122131362437 Medium-low
26 3.81012908055779 Medium-high
27 3.80927621882266 Medium-high
28 3.79376474551005 Medium-low
29 3.79202516885332 Medium-high
30 3.78749309837184 Medium-low
31 3.77141470355154 Medium-high
32 3.76878812937862 Medium-high
33 3.74393769288351 Medium-high
34 3.72031530413446 Medium-high
35 3.70418423088179 Medium-high
36 3.6889846984103 Medium-low
37 3.67387234070922 Medium-low
38 3.64778146896402 Medium-low
39 3.63701916016276 Medium-low
40 3.63009084285805 Medium-low
41 3.62423570917403 Medium-low
42 3.61622027233078 Medium-high
43 3.61584325183272 Low
44 3.60553797409493 Medium-high
45 3.60471320989685 Low
46 3.5938462579535 Medium-low
47 3.59299896659583 Medium-low
48 3.59273384868726 Medium-high
49 3.57657815460788 Medium-high
50 3.57539296389135 Medium-high
51 3.54584390684144 Medium-low
52 3.53337657099401 Medium-high
53 3.53014174306735 Medium-high
54 3.50837800977259 Medium-high
55 3.49962720886138 Medium-low
56 3.49784909000915 Low
57 3.49450367967086 High
58 3.49277118821611 Medium-high
59 3.48192059898727 Medium-low
60 3.48013707201144 Low
61 3.47275404778729 Medium-high
62 3.45741941222215 Low
63 3.45564125186342 Medium-high
64 3.44875055939669 Low
65 3.43608012705203 Medium-high
66 3.43402116574051 Medium-low
67 3.43314122779848 Medium-high
68 3.43210597708528 Medium-low
69 3.43152976968284 Medium-low
70 3.42424237720067 Medium-high
71 3.42224420929428 Medium-high
72 3.42047345272598 Medium-high
73 3.41643280531058 Medium-low
74 3.41331733166042 Medium-low
75 3.41331733166042 Medium-low
76 3.4086018111688 Medium-high
77 3.40321953524561 Medium-high
78 3.40186347889831 High
79 3.3904375104004 Medium-low
80 3.36962238455866 Medium-low
81 3.36301170727957 Medium-low
82 3.35391542412063 Medium-high
83 3.34574999447521 Medium-low
84 3.3385723331773 Medium-low
