piRNA Div_Group
1 4.8325447912092 Medium-high
2 4.69418220543824 Medium-low
3 4.62126571437956 Low
4 4.57849207535712 Low
5 4.56497611459171 Low
6 4.55740087641317 Medium-low
8 4.51552464915662 Medium-low
9 4.50364885646926 Medium-low
10 4.4979356835091 Medium-low
11 4.49698638694715 Medium-low
12 4.40220030458266 Medium-low
13 4.35769689068846 Medium-low
14 4.31978818222945 Medium-low
15 4.31839042191141 Medium-low
16 4.30298158789182 Low
17 4.25539438030477 Medium-low
18 4.25421298385168 Medium-low
19 4.24012323725359 Medium-low
20 4.21960929461241 Medium-low
21 4.2134782486063 Medium-low
22 4.18057389403404 Medium-high
23 4.16983163185103 High
24 4.15964426239784 Medium-low
25 4.10327545411081 Medium-low
26 4.09868404197704 Medium-low
27 4.06601435025416 Medium-low
28 4.0423543307263 Medium-low
29 4.03596976708054 Low
30 4.03383137651828 Low
31 3.93071613399212 Medium-high
32 3.90675712595822 Medium-high
33 3.88756023636305 Low
34 3.88566842632306 Low
35 3.85854708866454 Medium-low
36 3.85463922441156 Medium-high
37 3.8399679721201 High
38 3.82328315106124 Low
39 3.81373811083379 Low
40 3.79557159982719 Medium-high
41 3.76983513109876 Medium-low
42 3.73717177850938 Medium-low
43 3.72751531587735 Medium-high
44 3.71598806437741 Medium-low
45 3.70275646473526 Medium-low
46 3.68885754262082 Medium-low
47 3.67757130584698 Medium-low
48 3.66655177939854 Medium-low
49 3.6614907128764 Medium-low
50 3.65403994969173 Medium-high
51 3.64207850091774 Medium-low
52 3.62870637639428 Medium-low
53 3.62522519667157 Medium-low
54 3.6116160279401 Medium-low
55 3.58180756464075 Low
56 3.57769558535946 Low
57 3.56954219778649 Medium-low
59 3.56128101834315 Medium-high
60 3.55310533997343 Medium-low
61 3.53943188959047 Medium-high
62 3.52142097368587 Medium-low
63 3.51770607220005 Low
64 3.51374402840586 Medium-low
65 3.5116412881319 Low
66 3.50707743104468 Low
67 3.48849777717534 Medium-low
68 3.48275948951249 Low
69 3.47823039062681 Medium-high
70 3.46573648708511 Medium-high
71 3.46453336683076 Low
72 3.46138956590614 High
73 3.458528339476 Medium-high
74 3.43551347357416 Medium-high
75 3.43228136686913 Medium-high
76 3.42895964919121 Medium-low
77 3.42482096098628 Medium-low
78 3.42223900942429 Medium-high
80 3.35886835747251 Medium-low
81 3.35119452681733 Medium-low
82 3.30581462252156 Medium-high
83 3.29016976184103 Medium-high
84 3.2889079251608 Medium-high
85 3.28519131491559 Medium-low
86 3.2740336047811 Medium-low
87 3.26525867745414 Medium-low
88 3.26401782809677 Medium-high
89 3.24874533987698 Low
90 3.23096076957504 Medium-low
91 3.23034145084912 Medium-low
92 3.22629420753209 High
94 3.16886005096174 Medium-low
95 3.1633511696188 Medium-low
96 3.15298412239729 Medium-low
97 3.15199553704383 Medium-low
98 3.1422370320166 Medium-high
99 3.13199519362385 Medium-high
100 3.12691334212786 Medium-low
101 3.12322780949734 Medium-high
102 3.12057600488216 Medium-low
104 3.10830154843155 Low
107 3.08857004989934 Medium-low
110 3.06230798158476 Medium-high
111 3.05725972114845 Medium-low
113 3.03999535412241 Medium-low
114 3.02484386130084 Medium-high
117 2.98927239136547 Low
119 2.96674469909272 Medium-high
120 2.96655513145876 Medium-low
121 2.96560605011729 Medium-high
123 2.95638776180632 Medium-high
124 2.95248830051182 Medium-low
125 2.93875986543544 Medium-high
126 2.92206981840449 Medium-low
134 2.84953724785389 Medium-high
136 2.83515175961917 High
138 2.81114964371529 Medium-low
142 2.80099810037089 Medium-low
145 2.75104016593198 Medium-high
147 2.73647232011454 Medium-high
