piRNA Div_Group
1 5.02349162056312 Medium-low
2 4.94891715987724 Medium-low
4 4.71473303904131 Medium-low
5 4.6156743897347 Medium-low
6 4.61055768424927 Medium-low
7 4.56453903564958 Low
8 4.52470016472099 Medium-low
9 4.51164341727654 Medium-high
10 4.47039449487302 Medium-low
11 4.46649100215761 Medium-low
12 4.46608848907475 Medium-low
13 4.4450929293912 Medium-low
14 4.41937313924756 Medium-low
15 4.40878161641556 Medium-low
16 4.38967742995222 Medium-low
17 4.38328169100611 Medium-low
18 4.29651691923316 Medium-high
19 4.2224275178043 Medium-high
20 4.16867930753795 Low
21 4.10207537043994 Low
22 4.05143026293094 Medium-low
23 4.04204612510646 Low
24 3.99563162893414 Medium-high
25 3.92277123028107 Medium-low
26 3.91578069931574 Medium-low
27 3.9123972037139 Medium-low
28 3.89956031504145 Medium-low
29 3.89624937472972 Medium-low
30 3.89444138019355 Medium-high
31 3.86458086181961 Low
32 3.86149285332064 Low
33 3.85906861244682 Low
34 3.79332627743237 Medium-low
35 3.78897175160424 Medium-high
36 3.76888097889823 Medium-low
37 3.75147547053145 Medium-high
38 3.74794915172264 Low
39 3.72380845364933 Medium-low
40 3.72209244204367 Medium-high
41 3.67672995175331 Medium-low
42 3.62693218893106 Medium-low
43 3.62227296211033 Low
44 3.60560675852371 Medium-low
45 3.60491083482121 Medium-high
46 3.60286300167417 Medium-high
47 3.59694476246182 Medium-low
48 3.59540505776029 Low
49 3.59092078298294 Low
50 3.57730698315881 Medium-low
51 3.57407887080107 Medium-low
52 3.55862846323711 Low
53 3.5341384429667 Medium-low
54 3.47513681876731 High
55 3.46800447729747 Low
56 3.45521750498754 Medium-low
57 3.43967154950246 Medium-high
58 3.39068162566867 Medium-high
59 3.35841108375211 High
60 3.35172546404776 High
61 3.34939023830537 Medium-high
62 3.3033848018581 Medium-low
63 3.28911437267358 High
64 3.28675410900406 Medium-low
65 3.28306772486878 Medium-high
66 3.28067427825078 Medium-high
68 3.24132732482876 Medium-high
70 3.23266134528883 Medium-high
71 3.20153854329691 Medium-low
72 3.20100928486553 Medium-low
73 3.19728630539557 Low
74 3.19526373931779 Medium-low
75 3.19341138945687 Low
76 3.18950158877749 Medium-low
77 3.18689562476419 Low
78 3.18317175889554 Medium-high
79 3.18237400372672 Low
80 3.18163631142206 Medium-high
81 3.17443993095178 Medium-low
82 3.17281045815138 Medium-low
83 3.15164516313754 Medium-high
84 3.14150705699545 Medium-low
85 3.13580119513299 Medium-high
86 3.13064254520796 Medium-low
87 3.11183606080337 Medium-high
88 3.06471682257625 Medium-high
89 3.05444903875304 Medium-low
90 3.036433782569 High
94 2.98907504165869 Medium-low
96 2.97206718449883 High
97 2.97076933555659 Medium-low
99 2.94798560051164 Medium-high
100 2.94555532212332 Medium-low
101 2.94523732430633 Medium-low
105 2.92394009719752 Medium-low
111 2.89468940847115 Low
118 2.84488459071785 Medium-low
119 2.83815255673867 Medium-high
124 2.7937595571696 Medium-high
125 2.77549595576871 Medium-low
128 2.73717478006967 Medium-high
138 2.68483600836231 Medium-low
143 2.59835682910177 Medium-high
148 2.56759566734895 Medium-low
149 2.56454912530451 High
151 2.55449762815132 Medium-high
153 2.53964529721383 Medium-low
155 2.53448846041105 Medium-low
156 2.52649751617294 Medium-high
160 2.50277913679802 Medium-low
161 2.49953623942493 Low
162 2.49716246574235 Medium-high
164 2.48017251739923 Medium-low
165 2.47924331039497 Medium-low
166 2.46888862514526 Medium-high
169 2.45403007211725 High
172 2.43864509855067 Medium-low
173 2.43004932581734 Medium-low
174 2.38815790517262 Medium-low
175 2.38662552237113 Medium-high
177 2.38238337524506 Medium-high
183 2.34264025625775 Medium-high
184 2.34221537127089 Medium-high
185 2.33922948009189 Medium-low
187 2.33579170486655 Medium-low
188 2.32970932996045 Medium-high
189 2.32839480681492 Medium-high
191 2.31952814397551 Medium-low
192 2.31547831275235 Medium-low
193 2.31457319855277 Medium-high
194 2.30634114764959 Medium-high
196 2.29700760582632 Medium-high
197 2.29178734972419 Medium-low
199 2.29083143371921 Medium-low
201 2.28650358151092 High
203 2.28408045192033 High
204 2.28359419939651 Medium-low
205 2.28359419939651 Medium-high
207 2.27623431450532 Medium-low
208 2.26874755011673 Medium-low
209 2.26874755011673 High
211 2.26061679871847 Medium-high
212 2.25856010154037 Medium-high
214 2.25545667725887 Medium-low
215 2.2533753384381 High
216 2.24812792913069 Medium-high
217 2.24654126269751 Medium-high
218 2.24281634120646 Medium-high
220 2.21352619689338 Medium-high
221 2.21295411390979 Medium-low
222 2.21295411390979 Medium-high
223 2.2066109562398 Medium-low
225 2.20486480322032 Medium-high
226 2.20486480322032 High
228 2.18334428419258 Medium-low
229 2.1632764647802 High
231 2.1482575552284 Medium-high
234 2.13407571525982 Medium-high
236 2.12154000969476 Medium-high
237 2.12154000969476 Medium-high
238 2.11153354030884 High
239 2.11080989216856 Medium-high
242 2.09532790813047 Medium-high
243 2.09382423678716 Medium-low
244 2.09231534114212 Medium-low
245 2.09231534114212 Medium-low
246 2.09004212231626 Medium-low
248 2.06663049630809 Medium-low
249 2.06582795031323 Medium-high
251 2.06179282271469 Medium-low
254 2.05607990774209 Medium-low
256 2.05443374743757 Medium-low
258 2.04357886919789 Medium-low
260 2.03676153565894 Medium-high
261 2.03504034894139 Medium-high
263 2.029835478129 Medium-high
264 2.02720946229918 Medium-low
267 2.01923477789943 Medium-high
269 2.01202110794225 Medium-high
272 1.99816377630403 Medium-low
273 1.99439257541274 Medium-low
276 1.98384967479158 Medium-high
277 1.97502914128912 Medium-high
278 1.97105065568372 Medium-high
281 1.95163857673965 Medium-low
282 1.93783836251682 Medium-high
284 1.93131805347581 Medium-high
285 1.92691615272816 Medium-high
286 1.92358519798799 Medium-high
288 1.92135028307867 Medium-low
289 1.917976197146 Medium-low
290 1.90769374704851 High
293 1.90187429692928 Medium-low
296 1.89239787250563 Medium-low
297 1.88636835417418 Medium-low
298 1.88393291094301 Medium-high
299 1.88393291094301 Medium-low
300 1.87778387259071 High
301 1.87654354798625 Medium-low
302 1.87405222099909 Medium-high
304 1.86137659567184 Medium-low
305 1.86008844537747 Medium-high
307 1.85750062555906 Low
308 1.8402931454541 Medium-low
309 1.8362234624865 Medium-high
310 1.82796786971178 Medium-high
311 1.82237564712363 Medium-high
314 1.81671047554526 Medium-high
315 1.81097042659512 Medium-high
316 1.80952348146681 Medium-low
317 1.80807169941101 Medium-low
320 1.79328054381747 Medium-low
323 1.77952361500804 Medium-high
325 1.77640642510971 Medium-low
326 1.77168828339184 Medium-high
327 1.76531661945296 Medium-high
328 1.76370898922139 Medium-high
330 1.75558034312533 Medium-high
331 1.75228580074036 Medium-high
332 1.75062910979648 Medium-high
333 1.74729664731604 Medium-low
334 1.74729664731604 Medium-high
335 1.74393841606476 Medium-high
337 1.72145313672935 Medium-high
339 1.71967430366635 High
341 1.71609462934301 Medium-low
342 1.71248520414555 Medium-low
343 1.71066917962367 Medium-low
344 1.71066917962367 Medium-high
345 1.71066917962367 Medium-low
346 1.70701418917475 Medium-low
347 1.68441371735474 Medium-low
348 1.67463832877043 Medium-low
349 1.67463832877043 Low
350 1.67066572113096 Medium-low
355 1.65646825204324 High
356 1.65646825204324 Medium-high
357 1.64391829958411 Medium-high
358 1.63534554811401 Medium-high
359 1.62660016145534 Low
360 1.62438601850519 Medium-high
361 1.61992357733146 High
362 1.6131427466796 Medium-high
363 1.61085873681874 Medium-low
364 1.606254362437 Medium-high
365 1.59925495763381 Medium-low
367 1.59689652790627 Medium-high
368 1.58490835518694 Medium-low
369 1.58247049259835 Medium-high
371 1.5700715847195 Medium-low
372 1.56501117857954 Medium-high
373 1.56501117857954 Medium-high
375 1.54682046702515 Medium-high
376 1.54415846076128 Medium-low
377 1.53334420453081 Medium-low
378 1.53059803481446 High
379 1.52505304538605 Medium-low
382 1.50506831660551 Medium-low
383 1.49918531350952 Medium-low
384 1.49621365510525 Medium-high
385 1.49621365510525 Medium-high
386 1.49322152296733 Medium-low
387 1.48717469524632 Medium-high
388 1.48717469524632 Medium-high
389 1.47794360179431 Medium-low
390 1.47167869958706 Medium-low
391 1.47167869958706 Medium-high
392 1.46532209880984 Medium-low
395 1.44901123237994 Medium-high
396 1.44567423847787 Medium-low
397 1.44231140540546 Medium-high
399 1.44231140540546 Medium-high
400 1.43892232987978 Medium-low
401 1.43206379045695 Medium-high
403 1.42156851721605 Medium-high
404 1.42156851721605 Medium-high
405 1.41442805981901 Medium-low
406 1.41442805981901 Medium-low
408 1.40716823723702 Medium-high
410 1.40349230370461 Medium-low
412 1.39604575796198 Medium-high
413 1.39604575796198 Medium-high
415 1.39227405096432 Medium-low
416 1.39227405096432 High
417 1.38463092317557 Medium-low
418 1.37290794784398 Medium-low
421 1.34425720213792 Medium-high
422 1.34425720213792 Medium-low
424 1.33571169665917 Medium-high
425 1.3313750499901 Medium-low
427 1.32256964314045 Medium-low
428 1.2997418741971 Medium-high
430 1.29026385179492 Medium-high
432 1.28057435774871 High
433 1.27564731818293 Medium-low
435 1.27066373966502 High
436 1.26052166882581 Medium-high
438 1.2553604102015 Medium-low
440 1.25013707548928 High
442 1.24485015327499 Medium-low
443 1.24485015327499 Medium-high
447 1.22303434548523 Medium-high
448 1.20592181252469 Medium-low
452 1.19412698852158 High
454 1.16315743125596 Medium-high
455 1.15668940483822 Medium-low
456 1.15012359072632 Medium-low
457 1.15012359072632 High
458 1.14345698664001 Medium-high
459 1.14345698664001 Medium-high
460 1.14345698664001 High
461 1.1298086884145 Medium-high
462 1.12282025130226 Medium-low
464 1.08608463654579 Medium-high
465 1.08608463654579 Medium-low
467 1.0624527608041 Medium-high
468 1.0624527608041 Medium-high
469 1.0624527608041 Medium-low
470 1.05428080466353 Medium-low
471 0.992318230849138 Medium-low
473 0.982698073274096 Medium-high
474 0.982698073274096 Medium-low
475 0.982698073274096 Medium-high
477 0.972859980721183 Medium-low
478 0.952488857284726 Medium-high
479 0.920020163037974 Medium-low
481 0.884926475842801 Medium-high
482 0.846745719906996 Medium-high
483 0.846745719906996 Medium-low
484 0.846745719906996 Medium-high
485 0.833234593847324 Medium-high
486 0.833234593847324 High
487 0.819289595558944 Medium-low
489 0.789979848233106 Medium-high
490 0.789979848233106 Medium-high
491 0.789979848233106 Medium-low
492 0.77454819887819 Medium-high
493 0.77454819887819 Medium-low
494 0.758547955892704 Medium-high
495 0.758547955892704 Medium-high
496 0.758547955892704 Medium-low
497 0.758547955892704 Medium-low
499 0.741935610304857 Medium-low
500 0.724662459805464 Medium-low
501 0.724662459805464 Medium-high
502 0.687907616681675 Medium-high
509 0.554226439485215 Medium-high
510 0.49863580344148 Medium-high
513 0.360103937380453 Medium-high
515 0.155479359288355 Medium-low
517 0.155479359288355 High
518 0.0846606253104058 Medium-high
519 0.0846606253104058 Medium-high
520 0 Medium-high
