piRNA Div_Group
1 4.73653457671568 Low
2 4.73335756809007 Low
3 4.7283153650746 Low
4 4.72640035231963 Low
5 4.71970025133896 Low
6 4.69140658768376 Low
7 4.67057631645603 Low
9 4.66883837239363 Low
10 4.66386948185107 Low
11 4.65784494970853 Low
12 4.65091171250426 Low
13 4.64223193799542 Low
14 4.58844183756395 Low
15 4.5267270260343 Low
16 4.52000861037975 Low
17 4.51705897072787 Low
18 4.51181490745335 Low
19 4.49092158594705 Low
20 4.47773998198901 Low
21 4.47095483643991 Low
22 4.41625123434984 Low
23 4.28268973957895 Medium-low
24 4.11742265875183 Low
26 4.04965230874235 Medium-low
27 3.83754866774781 Medium-low
28 3.79874408544917 Medium-low
29 3.7159132844728 Medium-low
30 3.67181246533758 Low
31 3.62812619429953 Low
32 3.6247925723299 Medium-low
33 3.61383107914602 Low
34 3.57715809406359 Low
35 3.55210662881054 Medium-low
36 3.53826161247153 Medium-low
37 3.5146642307587 Medium-low
38 3.46374452518712 Low
39 3.41006670758729 Medium-low
40 3.33489713767049 Low
41 3.3099953502537 Medium-low
43 3.21061545970405 Low
44 3.17765888095119 Low
45 3.16115497438732 Medium-low
46 3.09017425453857 Medium-low
47 3.08705032496129 Medium-low
50 2.97849560300644 Medium-low
51 2.95903650353269 Medium-low
52 2.94681021533152 Medium-low
53 2.92831392145631 Medium-low
54 2.92697683469975 Medium-low
55 2.85437911608066 Low
56 2.80079978493027 Low
57 2.78779719024075 Medium-high
58 2.72450117190865 High
59 2.72450117190865 High
60 2.60742625306164 Medium-low
61 2.57391628242493 Medium-low
63 2.54560858931207 Low
64 2.53936678182518 Medium-high
65 2.5123927699879 Low
66 2.49044000911577 Low
67 2.39759131727152 Medium-low
68 2.32655819662864 Medium-low
69 2.22583319915362 High
70 2.22219451215784 Medium-low
71 2.19859705228102 Medium-low
72 2.14217600829593 Medium-high
73 2.02387816222156 Medium-high
74 2.01890515599333 Medium-low
75 1.97967343618865 Medium-high
76 1.94846939102707 High
77 1.91906517875015 Medium-high
78 1.91696199232345 Medium-low
79 1.895350195496 Medium-low
81 1.75994114286709 Medium-low
83 1.74610345195139 Medium-high
84 1.73342186263227 High
85 1.65035887793491 Medium-low
87 1.55490127936739 Medium-high
88 1.39894563564022 Medium-low
89 1.35510962156372 Low
90 1.30634705111697 Medium-low
91 1.29325016733966 Medium-high
92 1.21049790614332 Medium-low
93 1.21049790614332 Medium-high
95 1.16532866888329 Medium-high
96 1.14085074467354 Low
97 1.13450945155363 Medium-low
98 1.13450945155363 Medium-low
99 1.05017207813372 Medium-low
101 1.01798020761161 Medium-high
102 1.01798020761161 Medium-high
103 1.00094284345647 Medium-low
104 0.974064017425012 Medium-high
106 0.964721570989296 Medium-high
107 0.925202196346615 High
109 0.914733723994833 Medium-low
110 0.881723388137786 Medium-high
111 0.881723388137786 Medium-high
113 0.858234642022528 Medium-high
115 0.845996032547682 Medium-low
116 0.845996032547682 Medium-low
117 0.845996032547682 Medium-low
119 0.807063949653907 Medium-low
120 0.779024323736017 High
121 0.764295051726349 Medium-high
122 0.764295051726349 Medium-high
126 0.733247450601509 Medium-low
127 0.733247450601509 Medium-high
128 0.733247450601509 High
131 0.716849579346907 Medium-low
132 0.716849579346907 Medium-high
133 0.699808188432637 Low
134 0.699808188432637 Medium-low
135 0.682070698720304 High
136 0.663577811575511 Low
137 0.663577811575511 Medium-low
140 0.663577811575511 Low
142 0.60284583628505 Medium-low
143 0.60284583628505 Medium-high
144 0.505870390481174 Medium-low
145 0.505870390481174 Medium-high
146 0.477819853758051 Medium-low
147 0.447831699755693 Medium-high
148 0.38082257730084 High
150 0.38082257730084 Medium-high
152 0.38082257730084 Medium-high
153 0.38082257730084 Medium-high
154 0.255738362634911 Medium-low
155 0.255738362634911 Medium-low
158 0.255738362634911 Medium-high
159 0.0793560011874994 Medium-high
160 0.0793560011874994 Medium-high
161 0 Medium-high
