piRNA Div_Group
1 4.88618944073886 Medium-low
2 4.84159835543457 Medium-low
3 4.84113211867045 Medium-low
4 4.75900554835169 Medium-high
5 4.69516706855055 Medium-high
6 4.68918026329863 Medium-low
7 4.68106606570503 Medium-low
8 4.63230579953933 Medium-low
9 4.49627538113957 Medium-high
10 4.46235307371907 Medium-high
11 4.39580455613658 Medium-low
12 4.38309982500344 Medium-high
13 4.25645603337006 Medium-low
14 4.25476119979758 Medium-high
15 4.24027427313697 Medium-low
16 4.18967787648243 Medium-high
17 4.17769480949315 Medium-high
18 4.07994046256594 Medium-high
19 4.0746259211922 Medium-low
20 4.04554601774607 Medium-high
21 3.9849257007768 Medium-low
22 3.98447519706884 Medium-low
23 3.96663410418068 Medium-high
24 3.95845152167479 Medium-high
25 3.94120066207247 Medium-high
26 3.93453683212653 Medium-high
27 3.92667894572328 Medium-high
28 3.90157116306199 Medium-low
29 3.89851632355461 Medium-high
30 3.89584909145063 Medium-low
31 3.88475249269008 Medium-high
32 3.8844007590634 Medium-high
33 3.88301374383738 Medium-low
34 3.88159943668744 Medium-high
35 3.85193395313947 Medium-low
36 3.84607217433319 Low
37 3.83032978933096 Medium-low
38 3.79808971661323 Medium-high
39 3.78487500861747 Medium-high
40 3.77227538242955 High
41 3.76279765144335 Medium-high
42 3.74013929308011 Medium-low
43 3.73833171165665 Medium-high
44 3.72240854357571 Medium-high
45 3.7037853682907 Low
46 3.64678276704805 Medium-high
47 3.64414601937105 Medium-high
48 3.62637941555246 Medium-high
49 3.60408353367849 Medium-high
50 3.57872614253349 Medium-low
51 3.57483089046973 Medium-low
52 3.5643564175821 Medium-low
53 3.54366371174294 Medium-high
54 3.41645536075448 Medium-high
55 3.40797119408823 Medium-high
56 3.40366613679586 Medium-low
57 3.39031182483334 Medium-high
58 3.35614239843552 Medium-low
59 3.31871932380204 Medium-low
60 3.28734006499654 Medium-low
61 3.28680112618972 Medium-high
62 3.27324471506869 Medium-low
63 3.27213054284425 Medium-high
64 3.26665764010121 Medium-low
65 3.25805275436501 High
66 3.23780590787974 Medium-low
67 3.21893955212314 Medium-low
68 3.21888700903998 High
69 3.20964634431577 Medium-low
70 3.20592679752471 Medium-high
71 3.16917051727421 Medium-low
72 3.1684038888336 Medium-high
73 3.16716262321888 Medium-high
74 3.15241281661582 Medium-low
75 3.15112492564513 Medium-high
76 3.14934010734707 Medium-high
77 3.1354284470763 Medium-high
78 3.11868028076863 Medium-low
79 3.10856982058138 Medium-low
80 3.10441776438881 Medium-high
81 3.09235131280152 Medium-high
82 3.07783652332427 Medium-high
83 3.07761833944825 Medium-high
84 3.06514685880296 Medium-high
85 3.063271175606 High
86 3.03923412707861 Medium-low
87 3.0277188159118 Medium-low
88 3.02287730924603 Medium-high
89 3.00699438038333 Medium-low
90 3.0023476281332 Medium-high
91 2.97943326891868 High
92 2.9724461516533 Medium-high
93 2.96013222985686 Medium-high
94 2.92747050918296 High
95 2.92458276026036 Medium-high
96 2.91251677081833 Medium-high
97 2.9078100768496 Medium-low
98 2.90076231485698 Medium-high
99 2.89669883229598 Medium-low
100 2.89248556971342 Medium-low
101 2.88755543625827 Low
102 2.88461564963243 Low
103 2.88382075674659 Low
104 2.88154158443304 Low
105 2.87195308223251 Medium-high
106 2.85697999582317 High
107 2.85236108215744 Medium-high
108 2.85052421766384 Medium-high
109 2.8420982517005 Medium-high
110 2.84147219513087 Medium-low
111 2.77043374142256 Medium-high
112 2.76224064835136 Medium-low
113 2.75327638473764 Medium-high
114 2.74740325899196 High
115 2.73091104635601 High
116 2.72423320206788 Medium-low
117 2.69134081912193 Medium-high
118 2.59896568844464 High
119 2.59278971379468 Medium-low
120 2.58629921120299 High
121 2.58517028912671 Medium-low
122 2.55230671808415 Medium-high
123 2.53438478870897 Medium-low
124 2.53055611607398 Medium-high
125 2.53004306663979 Medium-low
126 2.47802316926196 High
127 2.45484726497478 Medium-low
128 2.43100983886962 Medium-low
129 2.4061292200549 High
130 2.40132272298802 Medium-low
131 2.38226845933114 Medium-high
132 2.37755370605582 Medium-low
133 2.34930596591724 Medium-high
134 2.34813692823442 High
135 2.33546737618808 Medium-low
136 2.33385737498341 Medium-low
137 2.2691891901532 Medium-high
138 2.25200593477495 High
139 2.24315244214022 Medium-low
140 2.23714822642366 Medium-high
141 2.2279833312567 Medium-low
142 2.22436631219882 Medium-low
143 2.20581506239549 Medium-low
144 2.19317803874611 Medium-high
145 2.18530194409369 Medium-high
146 2.1830251446136 High
147 2.17785828014572 Medium-high
148 2.17087209307262 Medium-high
149 2.16436783904996 Medium-high
150 2.15957552871718 Medium-low
151 2.15533843402238 Medium-high
152 2.14174617998472 Medium-high
153 2.13859679029399 Medium-low
154 2.12771474253198 Medium-low
155 2.1023567425637 High
156 2.08839092765625 Medium-low
157 2.08768070754187 High
158 2.06581537020433 Medium-high
159 2.04514874497733 Medium-low
160 2.04041947804983 Medium-high
161 2.01260166792716 Medium-high
162 1.98827447402774 Medium-high
163 1.9538840251385 Medium-high
164 1.95291568286869 Low
165 1.9411239695019 Medium-high
166 1.9411239695019 High
167 1.92177321432757 Medium-low
168 1.9090919643953 High
169 1.8960292600592 Medium-high
170 1.88027563104412 Medium-high
171 1.87797772830234 Medium-low
172 1.85793849425688 Medium-low
173 1.85430413792759 Medium-high
174 1.84321494332475 High
175 1.84321494332475 Medium-low
176 1.83945471772669 Medium-high
