piRNA Div_Group
1 5.10027249800879 High
2 5.08931145933673 Medium-high
3 4.58875642177109 Medium-low
4 4.53458033448825 Medium-high
5 4.46504457270287 Medium-low
6 4.42780042951454 Low
7 4.39382834438198 Medium-low
8 4.34538586787212 High
9 4.31933303917384 Low
10 4.22788048608796 Medium-high
11 4.22164011319143 Medium-low
12 4.21370497127456 Low
13 4.20053761846613 Low
14 4.17350551440433 High
15 4.16274853429087 Medium-low
16 4.16075650815946 Medium-low
17 4.14652045698002 Low
18 4.12835012092603 High
19 4.11520639775118 Medium-high
20 4.09764092447388 Medium-low
21 4.05913286196959 Low
22 4.03679713371303 Medium-high
23 4.02302010647844 Medium-high
24 4.01876205065 Low
25 3.92417442565754 Medium-high
26 3.9200362956219 Medium-low
27 3.90001830645861 High
28 3.89956811118827 High
29 3.88570380748696 Medium-high
30 3.87794812866274 Low
31 3.87272313437055 Medium-high
32 3.86281662283047 Medium-high
33 3.81888495599017 Medium-low
34 3.74694333952239 Low
35 3.74654780085243 Medium-high
36 3.73274439923775 High
37 3.72576357708632 Medium-low
38 3.72314639748874 Medium-low
39 3.7065456876354 Medium-high
40 3.70602883354009 Low
41 3.68887643235657 Medium-low
42 3.65493870510537 Medium-high
43 3.65316665560224 Medium-high
44 3.65105878181204 Medium-low
45 3.63744172324495 Low
46 3.63459804509463 Medium-low
47 3.63442731872927 High
48 3.63070346938192 Medium-high
49 3.61084339037011 Medium-high
50 3.60714463206774 Medium-high
51 3.57758779909266 Medium-high
52 3.56626371112585 Low
53 3.55086790043289 Medium-low
54 3.5446734293776 Medium-low
55 3.52785495495862 Medium-low
56 3.5227112810142 High
57 3.50624942308735 Medium-low
58 3.47959293746271 Low
59 3.47004617248781 Medium-high
60 3.46582278375287 Medium-high
61 3.45893490579078 Medium-low
62 3.43919956828204 High
63 3.4050429212387 Medium-high
64 3.39630963022208 Medium-high
65 3.38636185592381 Medium-high
66 3.38127934851365 High
67 3.35311990098065 Medium-high
68 3.34847957350202 High
69 3.3436462008262 High
70 3.33181200408871 High
72 3.3297997035024 Medium-low
73 3.32025015609598 Low
74 3.29005745474803 Medium-low
