piRNA Div_Group
1 5.46298925185456 Medium-low
2 5.18736649357418 Medium-high
3 5.01857782908398 Medium-low
4 4.59031430121851 Medium-low
5 4.5687617083596 Medium-low
6 4.52420016721828 Medium-high
7 4.48754075345954 Medium-low
8 4.33989149552813 Medium-low
9 4.28289837683163 Medium-low
10 4.26541954138187 Medium-low
11 4.25153880697495 Medium-high
12 4.0942260908997 Medium-low
13 4.0748569681779 Low
14 4.02652047390722 Medium-low
15 3.98766943702576 Medium-high
16 3.85620179888504 Low
17 3.853412967785 Medium-low
18 3.80360211001839 Medium-low
19 3.79340612048772 Medium-high
20 3.75911976241093 Medium-low
21 3.72717737805882 Low
22 3.71199684905352 Medium-high
23 3.64600275003791 Low
24 3.63487418959038 Medium-high
25 3.63043158941504 Low
26 3.60082441118218 Low
27 3.59007278768077 Low
28 3.58653947401491 Medium-high
29 3.5360346483802 Medium-high
30 3.53472910367173 Medium-low
31 3.52692644744561 Medium-low
32 3.5017948836973 Low
33 3.50058418151414 Medium-high
34 3.49957267839899 Low
35 3.49864001023577 Low
36 3.49619749281149 Low
37 3.48778865347898 Low
38 3.47141807704119 Medium-high
39 3.46851262047122 Low
40 3.46558759523052 Low
41 3.45754110346999 Medium-low
42 3.45319089908895 Medium-low
43 3.45129370226712 Medium-high
44 3.41510472991127 Low
45 3.40915973665944 Medium-high
46 3.40580470016626 Low
47 3.38405552963948 Low
48 3.33968985203578 Medium-low
49 3.33492244278383 Medium-low
50 3.33159558915856 Medium-low
51 3.31907204576727 Low
52 3.25709308076926 Medium-low
53 3.25246674516408 Low
54 3.19892303097702 Low
55 3.18669179781617 Medium-low
56 3.18502348367148 Low
57 3.17726560013924 Low
58 3.15465050664459 Low
59 3.13811663657842 Medium-low
60 3.12679738567693 Low
61 3.12247543250886 Low
62 3.11742701319406 Low
63 3.11517520193629 Medium-low
64 3.08404929785085 Medium-high
65 3.07606746713728 Medium-high
66 3.07477664985389 Low
67 3.03261187799548 High
68 3.02987288780145 Medium-low
69 3.02651498006029 High
70 3.02325222188976 High
71 3.02094142374662 Medium-low
72 2.97316571724375 Medium-high
73 2.96920002175175 Medium-low
74 2.96658203370255 Low
75 2.93580257255054 High
76 2.93312393280805 Medium-low
77 2.9239214553949 Medium-low
78 2.92239407308609 Medium-low
79 2.89263182986728 Low
80 2.8856945820121 Medium-low
81 2.87524699071202 Medium-low
82 2.84851700115458 Low
83 2.83768154450966 Low
84 2.82465679470847 Low
85 2.82465679470847 Medium-low
86 2.82003330510961 Medium-high
87 2.80705890082477 Low
88 2.80685930721339 Medium-low
89 2.77860950967722 Low
90 2.77303439044391 Medium-low
91 2.7676053502801 Low
92 2.75384098822521 Low
93 2.74770772587296 Medium-low
94 2.74055733136082 High
95 2.7304400061449 Low
96 2.72805297157571 Medium-high
97 2.71812660384952 Medium-high
98 2.70721531535626 Medium-high
99 2.70545387114315 High
100 2.6929195727582 Medium-low
101 2.67867388887351 High
102 2.60963891635982 Medium-high
103 2.60042458458133 Medium-high
104 2.59493076879372 Low
105 2.58272784569913 High
106 2.50048490199114 Medium-low
107 2.49723901975327 Medium-low
108 2.42133548651671 Medium-high
109 2.40603304578958 Medium-high
110 2.37208217576381 Medium-low
111 2.34921617231132 Low
112 2.33937034747704 Low
113 2.30526156626906 High
114 2.29370356151343 Medium-high
115 2.27644614965897 Medium-low
117 2.22928656542837 Medium-low
118 2.22243987747775 Low
119 2.18980632667507 Medium-high
120 2.13620778960025 Medium-high
121 2.12961164921141 Medium-low
122 2.11118577681358 Medium-high
123 2.0929776731692 Medium-high
124 2.08778138017152 High
125 2.08463349697357 Medium-high
126 2.07289202785357 Medium-high
127 2.07289202785357 Medium-low
128 2.07180871159352 Low
129 2.06193530797579 Low
130 2.05635151451423 Medium-low
131 2.05183220677605 High
132 2.05069499324106 Medium-high
133 2.04955479405752 Medium-low
134 2.02850211981211 Medium-high
135 2.01139177568414 Low
136 2.00637668149737 High
137 2.00002526040226 Medium-low
138 1.99487638515802 Medium-high
139 1.98703677407238 Medium-low
140 1.98439180389552 Medium-high
141 1.93230868282756 Medium-high
142 1.91084963530158 Medium-low
143 1.90610999889847 Medium-high
144 1.89647266846157 Medium-high
145 1.8899268817598 Medium-low
146 1.87311731435109 Medium-high
147 1.86967589179889 Medium-high
148 1.84111634190435 Medium-high
149 1.83367303836673 Medium-high
150 1.83179210750752 Medium-high
151 1.76244907340457 High
152 1.75351236985856 Medium-high
153 1.73033136143185 Medium-low
154 1.72312871689036 Medium-high
155 1.71085232429352 Medium-high
156 1.70584292433481 High
157 1.70584292433481 Low
158 1.6878405006414 Medium-high
159 1.68520670864323 Medium-low
160 1.65512906917068 Medium-high
161 1.64073701334526 High
162 1.60411587092422 Medium-high
163 1.59770047270522 Medium-high
164 1.59445688192442 Medium-high
165 1.52006355574227 Low
166 1.52006355574227 Low
167 1.47533257545378 Medium-high
168 1.44884130879696 High
169 1.44426462648828 Medium-high
170 1.44426462648828 Medium-high
171 1.43963920005271 Medium-low
172 1.43023788257763 Medium-high
173 1.42545978826004 Low
174 1.40580370785325 Medium-high
175 1.40074746757932 Low
176 1.38521564947054 High
177 1.37991243730325 Medium-high
178 1.34665672032118 Low
179 1.34085782532223 Medium-low
180 1.34085782532223 Medium-low
181 1.32902244645522 Medium-low
182 1.29794099087025 Medium-high
183 1.29794099087025 Medium-high
184 1.29794099087025 Medium-high
185 1.29794099087025 Medium-low
186 1.27816508248432 Medium-high
187 1.27816508248432 Medium-low
188 1.27816508248432 Medium-high
189 1.23568772457631 Medium-low
190 1.23568772457631 Medium-high
191 1.21278212100508 High
192 1.21278212100508 Low
193 1.21278212100508 Low
194 1.21278212100508 Medium-low
195 1.196811775127 Low
197 1.17169802372124 Low
198 1.17169802372124 Medium-low
199 1.14504241445328 Medium-low
200 1.14504241445328 Low
201 1.13578081704424 Medium-high
202 1.13578081704424 High
203 1.12631739859076 Medium-high
204 1.12631739859076 High
205 1.1067485152764 Low
206 1.1067485152764 Medium-high
207 1.04212033680322 Medium-high
208 1.03034812087797 High
209 0.992986494232382 Medium-high
210 0.966164489923767 Medium-low
211 0.937576281097553 High
212 0.937576281097553 Medium-low
213 0.937576281097553 Medium-high
214 0.922544033962466 High
215 0.922544033962466 High
216 0.906972762218251 High
217 0.890822366982556 Medium-high
218 0.890822366982556 Medium-high
219 0.874048101404335 Medium-high
220 0.874048101404335 Medium-high
221 0.856599823348187 High
222 0.856599823348187 Medium-high
223 0.838421091570985 Medium-low
224 0.81944806433261 Medium-high
225 0.799608146239315 Medium-high
226 0.778818310935247 High
227 0.778818310935247 Medium-low
228 0.756983001750948 Medium-low
229 0.733991476091856 Medium-high
230 0.709714406751875 Low
231 0.656665579817229 Medium-low
232 0.627495086341899 High
