piRNA Div_Group
1 4.85502920582419 Medium-high
2 4.52321972384818 Medium-high
4 4.45004687715484 Medium-low
5 4.3979846516121 Medium-high
6 4.39169921969433 Medium-high
7 4.38874333348558 Medium-high
8 4.38147272385417 Medium-high
9 4.31420111027575 Medium-high
10 4.30674458202904 Medium-low
11 4.27821824724292 Medium-low
12 4.27728728712277 Medium-low
14 4.20697057990308 Medium-low
16 4.15178394492168 Medium-high
17 4.13945097552511 Medium-low
18 4.13379952086454 Medium-low
19 4.12881952905355 Low
20 4.08122657092983 Low
21 4.07979375848447 Medium-high
22 4.06461229513092 Medium-low
23 4.05841598092739 Medium-low
24 4.04888085594456 Medium-low
25 4.04281785479212 Low
26 4.02017804264262 Medium-high
27 4.01536558156371 Medium-low
28 4.01061662920488 Medium-high
29 3.97285682706743 Medium-high
31 3.94202995429236 Medium-high
32 3.93281155704866 Low
33 3.91756504052128 Medium-low
34 3.91746804655867 Medium-low
35 3.91630242619463 Medium-high
36 3.91209974037539 Medium-low
38 3.88998893664272 Medium-high
39 3.8889542960155 Medium-low
40 3.87356092422051 Medium-high
41 3.85436084396482 High
42 3.84877232324015 Medium-low
43 3.83391990756628 Medium-high
44 3.81890682116053 Medium-low
45 3.81878508620771 Low
46 3.80874718181965 Low
47 3.78866565652578 Medium-high
49 3.77231058012711 Medium-high
50 3.76843145628318 Medium-low
51 3.74251710376833 Medium-high
53 3.72910570805345 Medium-low
54 3.72775652006028 Medium-low
55 3.71757861148736 Medium-high
56 3.68619175819201 Medium-low
57 3.64506403249559 Medium-low
59 3.60603597437113 Medium-high
60 3.60114002371113 Low
62 3.57194469023753 Medium-low
63 3.54672317723515 Medium-high
64 3.52608070565709 Medium-low
65 3.5175165622843 Medium-high
67 3.51556307292416 Medium-low
68 3.51273944764071 Medium-high
69 3.51014522309065 Medium-high
70 3.50226825458527 Medium-high
72 3.49973745486576 High
73 3.49063210017065 High
74 3.48855356207719 Medium-high
75 3.47020082558291 Medium-low
76 3.465969209985 Medium-low
77 3.45527649091757 Medium-low
78 3.44661468798683 Medium-high
79 3.44083956929924 Low
80 3.44054878760656 Low
81 3.43009783666886 Medium-high
82 3.42800706591623 Medium-high
83 3.42364389786268 Medium-high
84 3.42319002363239 Medium-low
85 3.41908366806752 Medium-high
86 3.41106403360184 Medium-low
87 3.41028505298022 Low
88 3.40778288383282 Medium-high
90 3.39666314949382 Medium-low
91 3.39327094210217 Medium-high
92 3.39197167102837 Medium-high
93 3.38887023393453 Low
94 3.38442447649501 Medium-high
95 3.38293238616522 Medium-low
96 3.37993273791312 Medium-low
97 3.37926332641553 Low
98 3.37387056141579 Medium-high
99 3.37285192039533 Medium-low
100 3.3684099899785 Medium-high
101 3.36113718605698 Medium-low
102 3.35938746575251 Medium-high
103 3.35798259614279 Medium-low
104 3.34693797168114 Medium-high
105 3.33837418193465 Medium-high
106 3.33653010608217 Medium-high
107 3.32813347230532 Medium-low
108 3.32491867862745 Low
109 3.32339756065888 Medium-low
110 3.32148864033815 Medium-low
111 3.31822409441169 Medium-low
112 3.31512900095511 Medium-low
114 3.30946229706723 High
115 3.29729573521055 Medium-high
116 3.29343546395568 Medium-low
117 3.28685537666094 Medium-low
118 3.27954238150801 Medium-low
119 3.27890978559175 Low
120 3.27890978559175 Medium-high
121 3.27785340709535 Medium-low
122 3.2748818037797 Medium-low
124 3.27317457088044 Medium-high
126 3.27060107166266 Medium-low
127 3.26431808870695 Medium-low
128 3.25237086934396 Medium-high
129 3.24967069993238 Medium-high
130 3.24854065566828 Low
131 3.24718070973882 Medium-high
132 3.24192777266039 Medium-low
133 3.23846739277612 Medium-low
135 3.23614505970092 Medium-high
136 3.22839204023841 Medium-low
137 3.22672951499433 Medium-low
138 3.21466555868675 Medium-low
139 3.19591701653671 Medium-high
140 3.17685659726166 Medium-high
142 3.17632243684443 Medium-low
143 3.17121487429654 Medium-low
144 3.16164601727979 Low
145 3.16081593438617 Low
146 3.15355463647335 Medium-high
147 3.14416001256237 Low
149 3.13778209390365 Low
150 3.13719761160704 Low
151 3.12743832471223 Medium-low
152 3.12713913785531 Medium-high
153 3.12232390283368 Low
155 3.11592178341937 Medium-high
156 3.11592178341937 Medium-high
157 3.09805328992803 Low
158 3.09805328992803 Medium-low
159 3.09773315134325 Medium-low
160 3.08175004367885 Medium-low
162 3.07200593428966 Medium-high
163 3.07132579895845 Low
164 3.06825193965695 Medium-low
165 3.06584602757956 Medium-high
166 3.06584602757956 Medium-low
167 3.06377315551941 Medium-high
168 3.05854727259393 High
169 3.05784571277558 Low
170 3.05219205805447 Medium-high
171 3.0482620321823 Medium-low
173 3.04065904141246 Medium-high
174 3.04029365289839 Medium-low
175 3.04029365289839 Medium-low
176 3.03882901690797 Medium-high
177 3.0358848428839 Medium-high
178 3.0355154137772 Medium-low
180 3.0310575776967 Medium-low
181 3.02504171221306 Medium-low
183 3.01740276675981 Low
184 3.01314335983658 Medium-low
185 3.0052903074145 Medium-low
186 3.00330465423079 Medium-low
187 2.99809906199969 High
188 2.99648470675814 Low
189 2.99608017856669 Medium-high
190 2.99567527322185 Medium-high
191 2.99283031613426 Medium-low
192 2.98084140898671 High
193 2.98042203690886 Medium-low
194 2.97789726447781 Medium-low
195 2.97747503837113 Medium-high
196 2.97705240137185 Medium-low
197 2.97408236984539 Medium-low
198 2.97365641668925 Medium-high
199 2.97237604483742 Medium-high
200 2.96635055296885 Medium-low
201 2.96461351657284 Medium-high
202 2.96024028458831 Medium-high
203 2.9598005295483 Medium-low
204 2.95803704297298 High
205 2.95759505018206 Medium-low
206 2.95537831352908 Low
207 2.95225574970366 Medium-low
208 2.95180783074818 Medium-low
209 2.95180783074818 Low
210 2.9509106045378 Medium-high
211 2.94730304785643 Medium-low
212 2.94183489486286 Medium-high
213 2.94137609240333 Medium-low
214 2.93953602021445 Medium-low
215 2.93490143938729 Medium-high
216 2.93256546929753 Medium-low
217 2.92832879668262 Medium-high
218 2.92738167468154 Low
220 2.9240503865626 Medium-high
221 2.92261483201619 Medium-low
222 2.91972940839605 High
223 2.91633867105954 Medium-low
224 2.91292125222129 Medium-low
225 2.90997047922427 Medium-low
226 2.90848754022999 Medium-low
229 2.90400809720745 Medium-low
230 2.89694692190209 Medium-high
231 2.88299593555185 Medium-high
232 2.88247052596364 High
235 2.87718117093293 Medium-high
236 2.8766486749927 Medium-high
237 2.87558172039315 Medium-low
238 2.8669503841769 Medium-high
239 2.86421752922199 Medium-low
240 2.85758764886621 High
242 2.8525479624032 Medium-low
243 2.85085498657877 Medium-low
244 2.84630785171315 Medium-high
245 2.84286598182936 Medium-high
246 2.84055615371616 Medium-high
247 2.84055615371616 Low
248 2.8370682125457 Medium-low
250 2.83355203178527 Medium-low
251 2.82403394736024 Low
253 2.80997556439086 Low
254 2.80935388497276 Medium-high
