Name	sense	antisense	total	RNAseq	div	copies	length
L1B_SS	368605	15578	384184	2472.04	13.259	123472	250.551
Pre0_SS	346471	224	346695	24193.87	12.952	1114	86.765
Pre0_SS	345836	488	346323	27928.07	14.169	309	69.511
Tigger1	6184	280467	286651	92.45	17.451	2068	669.844
L1-1_SSc	77829	169636	247465	36.18	21.485	1659	157.513
L1-1_SSc	78843	165234	244077	277.35	8.396	7808	1274.105
L1-2_SSc	32078	207482	239559	514.51	13.317	2552	920.893
L1-2_SSc	65123	148994	214117	486.37	9.249	11173	1685.732
L1-2_SSc	43415	113122	156537	414.02	20.221	35984	391.007
L1-1_SSc	26575	118200	144775	739.6	16.316	64023	286.489
LTR10A2_SS	1050	123156	124206	317.55	11.643	420	593.424
ERV2N-1_SSc-I	21387	99238	120625	462.25	16.534	583	557.976
LTR10A2_SS	194	89919	90113	325.59	14.763	383	429.3
L1-1_SSc	23524	66238	89762	373.82	18.229	24507	181.95
LTR10_SS	404	86413	86817	550.68	12.463	583	509.599
L1MA9	42410	34859	77269	2749.4	17.478	15406	129.601
L1-1_SSc	49325	25841	75166	116.57	19.288	1108	267.298
L1-2_SSc	31826	28189	60015	1278.23	17.532	27166	182.828
L1-3_SSc	33195	26090	59285	968.72	13.648	5454	118.58
HAL1_SS	32715	22730	55445	1619.89	15.533	6137	610.865
L1MA9	18511	29710	48221	209.02	10.646	4077	1011.221
L1MA9	18434	29737	48171	156.76	12.012	1604	877.569
ERV1-1_SSc-I	26528	19704	46232	1024.99	16.221	1983	329.212
L1_SS	25255	20114	45369	928.52	20.039	23778	180.681
L1-2_SSc	4045	39558	43602	124.61	21.321	5946	262.626
L1-3_SSc	39317	3621	42938	1141.56	16.604	56114	348.306
L1-2_SSc	30513	11655	42168	293.43	17.907	7865	82.534
L1B_SS	18716	21083	39799	470.29	10.84	27550	1309.429
L1B_SS	11685	27834	39520	1587.74	17.545	82056	370.262
L1B_SS	17526	21752	39278	550.68	8.626	10542	316.278
ERV3-1_SSc-I	2842	35445	38287	24.12	21.095	1267	487.242
ERV1-1_SSc-I	25242	13014	38256	0	21.812	105	1034.514
L1B_SS	12628	25506	38134	156.76	13.282	21145	375.24
L1-1_SSc	28662	9348	38010	397.94	22.223	56454	683.273
LTR21_SS	32349	3150	35500	116.57	11.5	883	441.183
L1_SS	10013	25011	35024	42354.35	5.118	15098	992.48
L1B_SS	13486	20292	33777	353.72	9.872	6238	272.41
L1B_SS	18801	12559	31360	876.27	16.242	26801	260.345
L1-1_SSc	11507	18913	30420	578.82	16.377	55443	265.035
L1-3_SSc	14030	15520	29550	28.14	22.581	3611	174.654
L1MD3	16472	12440	28912	1780.68	17.719	42940	184.257
LTR14D_SS	1522	25920	27442	56.27	13.729	137	391.445
L1-3_SSc	11729	15600	27328	365.78	16.859	17181	628.085
L1_SS	17664	8680	26344	550.68	18.619	26102	239.173
L1_SS	13180	12058	25238	405.98	3.843	3237	251.226
L1B_SS	11695	10438	22133	840.09	16.197	22458	277.945
L1B_SS	8105	13894	21999	590.88	18.449	42753	368.703
L1B_SS	13438	7679	21117	538.62	17.572	44840	240.152
L1B_SS	14783	5278	20060	775.78	19.747	18916	148.201
L1_SS	13723	5199	18922	152.74	11.618	579	606.166
LTR14_SS	104	18649	18753	8.04	11.157	136	403.39
L1_SS	9871	8435	18306	221.08	14.846	6936	2300.139
L1MA9	1913	15541	17454	60.29	21.204	5880	136.455
L1-3_SSc	6366	6655	13021	1615.87	21.978	37974	82.177
Pre0_SS	9544	3225	12769	12436.59	20.386	15966	71.677
L1-3_SSc	1382	11261	12643	615	13.518	295	90.203
L1MD	11481	779	12260	3223.71	18.372	15735	184.843
LTR14C_SS	1096	10236	11332	72.35	11.897	60	363.317
L1-3_SSc	423	9973	10396	2182.63	12.909	776	103.375
LTR14C_SS	3675	5997	9671	40.2	10.367	6	256.833
L1B_SS	8297	1362	9659	7576.91	17.306	248210	211.214
