Name	sense	antisense	total	RNAseq	div	copies	length
LTR6I_Cpo	33	648053	648086	2.7	27.228	11380	196.582
ERV2-4_CPo-I	287234	21440	308675	456.37	6.778	347	963.115
L1-3_Cpo	52886	135382	188268	6778.07	18.855	16547	45.254
LTR13_Cpo	106205	58087	164292	156252.03	10.649	6716	714.765
LTR13_Cpo	115719	40889	156607	2946.16	17.657	5415	670.405
ERV2-4_CPo-LTR	246	151541	151787	637.3	4.681	767	296.892
LTR13_Cpo	56107	91521	147628	3848.11	14.665	3197	705.541
LTR13_Cpo	99210	34662	133872	198259.85	10.897	295	328.332
LTR13_Cpo	70651	40047	110698	348.35	15.902	263	124.624
HAL1-4A_Cpo	4849	93283	98132	183.63	11.322	5046	545.475
LTR6I_Cpo	76011	526	76537	24.3	12.242	432	230.035
LTR13_Cpo	42272	23718	65990	1136.88	19.178	6145	477.441
L1-1H_Cpo	117	61891	62008	191.73	14.075	1253	531.553
L1-1C_Cpo	22258	30503	52762	62.11	18.577	13905	138.363
5S	47965	478	48443	985.66	12.49	906	70.543
HAL1-3B_Cpo	4883	40625	45508	11741.45	7.73	791	222.209
ERVL-B4-int	27835	14137	41972	5.4	27.372	3729	529.155
LTR13_Cpo	15410	22822	38231	1055.87	17.728	1199	344.706
ERVL-B4-int	18115	19518	37633	13.5	26.181	3152	484.188
L1-1E_Cpo	1475	35716	37191	2.7	25.302	3847	320.832
Tigger19b	912	32735	33647	70.21	15.883	3923	476.548
L1-2_Cpo	12218	20808	33027	21.6	10.958	7716	1505.698
L1-2B_Cpo	14307	18675	32982	51.31	17.169	24397	831.953
MLT1F-int	31002	444	31446	78.31	19.474	1107	326.253
LTR12B_Cpo	28319	697	29016	108.02	15.232	710	349.61
LTR8_Cpo	137	26875	27011	105.32	19.971	6190	108.606
ERV1NA-CPo_I-int	17	26941	26958	62.11	18.688	621	335.918
L1-1A_Cpo	15210	10802	26012	118.82	9.196	11831	2136.167
L1-1_Cpo	3801	22107	25908	5.4	19.676	3904	374.866
L1-2A_Cpo	16154	9485	25639	62.11	14.703	6209	1495.99
5S	3	24704	24707	5.4	23.901	3649	260.903
L1-2B_Cpo	7062	17496	24558	108.02	17.787	7448	376.877
L1-2B_Cpo	15640	7552	23192	37.81	20.371	817	118.563
rnd-1_family-278	21962	2	21964	167.43	21.974	337	94.202
ERVL-B4-int	586	20577	21163	8.1	21.082	832	84.48
CAVID2E	18998	1436	20435	2549.2	14.778	1003	62.255
L1-1H_Cpo	5028	14708	19736	286.25	14.579	67217	75.788
ERV2-4_CPo-I	4407	14177	18585	83.71	14.33	1319	1034.472
L1-1H_Cpo	4198	13931	18130	105.32	9.585	12347	1828.341
ERV3-1_CPo-I	16968	874	17843	132.32	12.284	1189	1261.466
LTR12_Cpo	4821	12783	17604	137.72	9.886	444	703.995
L1-1C_Cpo	9009	8273	17282	32.41	17.351	1081	1309.596
L1-1E_Cpo	8465	8802	17267	48.61	6.611	5297	2138.99
L1-2_Cpo	1421	15441	16862	2.7	22.33	8502	423.204
L1-1D_Cpo	7509	9321	16830	99.92	7.12	3094	2591.926
L1-1B_Cpo	5749	10665	16414	48.61	10.036	3836	1614.803
L1-1A_Cpo	358	16024	16382	32.41	11.113	393	101.524
L1-1A_Cpo	1911	14461	16372	59.41	20.556	8124	110.376
L1-1A_Cpo	4931	10844	15774	8.1	22.51	2926	535.107
L1-1B_Cpo	7646	8085	15731	40.51	18.531	16294	629.007
LTR13_Cpo	13521	1175	14696	2249.45	14.971	7	68.429
L1-4_Cpo	6012	8268	14280	70.21	16.408	19447	976.98
