TE	sense	antisense	total	RNAseq	div	copies	length
L1_Canid	398001	336266	734266	1802.09	13.939	30945	425.48
L1_Carn2	102968	258635	361603	2137.36	14.38	28329	547.791
L1_Canis2	107348	46951	154298	937.24	11.369	4569	894.343
L1_Canis1	83912	63468	147381	3493.68	8.682	73207	840.759
L1_Cf	62545	50335	112880	83025.36	2.747	14218	1005.197
L1_Carni	5018	75035	80054	899.13	21.168	2117	303.465
L1_Carn3	33009	27401	60410	1062.97	15.327	36868	584.629
L1_Carn5	8477	34029	42506	1264.89	17.26	27433	505.294
L1_Carn7	4992	35947	40939	2080.21	19.064	39211	523.302
CfERV1	27631	7532	35162	182.88	8.718	994	740.84
SINEC1_CF	25315	167	25482	48397.17	9.281	2667	115.518
Bsp	5386	17229	22615	18138.94	20.531	206	1291.068
L1_Carn1	15772	3833	19606	41.91	18.379	3573	975.348
L1_Canid2	14473	3219	17692	133.35	15.563	3204	1126.252
SAT1_CF	15072	441	15513	297.17	22.648	221	799.063
CfERV1z_LTR	5681	2480	8161	1242.03	9.157	1922	374.31
SINEC1D_CF	4122	1576	5698	23423.27	15.521	52714	157.617
SINEC_a1	3581	830	4412	123288.4	11.442	162993	161.227
SINEC_a2	3303	805	4109	62512.86	10.864	150771	155.263
CfERVF2	1270	2806	4076	3.81	12.48	141	1095.149
SINEC_c2	3145	624	3769	6934.02	18.316	133848	171.701
SINEC_c1	3141	531	3672	6290.15	19.056	59347	149.038
SINEC1C1_CF	1902	1440	3343	25431.09	12.256	2841	141.335
SINEC1C2_CF	1863	1177	3041	26810.27	13.819	3743	116.275
SINEC_b2	1217	1795	3012	14226.17	14.669	58327	166.398
CarSat1	575	2228	2803	11.43	21.75	141	1025.007
MER34A_CF	2545	71	2616	160.02	24.924	2383	311.71
CarERV2	1225	1097	2322	15.24	20.941	241	547.203
SINEC2A2_CF	539	1548	2087	54976.87	4.586	822	108.873
SINEC_b1	1210	819	2029	7497.89	15.22	65699	173.278
Tigger2f	194	1792	1987	26.67	16.693	1317	371.618
Tigger2	180	1783	1964	15.24	18.468	751	193.815
CfERV1a_LTR	533	1156	1689	270.5	8.865	568	440.239
CarERV4	1115	248	1363	60.96	21.99	1179	443.624
CarERV2d1_LTR	473	887	1360	11.43	15.946	250	368.976
SINEC_Cf2	939	406	1345	66677.08	8.588	119236	152.146
CarERVR1	993	226	1220	7.62	20.619	747	703.723
SINEC2A1_CF	754	460	1214	92001.49	4.978	104012	166.043
SINEC_Cf	753	458	1211	97373.45	4.098	63967	151.831
CfERV1b_LTR	123	913	1036	95.25	5.981	144	340.556
CarLTR1-int	334	678	1012	106.68	19.27	2341	428.636
CarLTR8y	58	907	965	129.54	18.05	1534	280.737
SINEC_Cf3	518	427	945	72879.6	7.873	98176	151.341
SINEC1A_CF	371	552	924	96718.15	8.411	24569	149.977
LTR72A_CF	890	24	914	7.62	17.364	329	282.985
CarERV3	490	372	862	0	20.973	167	469.545
SINEC1B1_CF	359	462	822	25953.05	9.832	1592	137.577
SINEC1B2_CF	335	420	755	15201.51	9.196	1482	133.182
CarERV2a_LTR	571	173	744	83.82	12.132	190	352.126
CfERV1c_LTR	106	625	731	49.53	4.677	134	293.269
CfERVF1	213	444	657	3.81	19.635	62	1502.161
MER101_CF	566	19	585	11.43	16.573	133	261.083
CfERVF2_LTR	9	466	475	7.62	14.06	372	257.118
CarERV2c2_LTR	289	183	472	60.96	12.878	80	368.475
CarLTR1B1	1	358	359	179.07	13.018	2078	423.943
CarERV2d2_LTR	14	330	344	11.43	12.888	103	335.388
CarLTR6b	27	286	313	60.96	16.422	303	423.752
CarLTR1B2	1	284	285	415.28	13.264	528	324.347
LTR35B_CF	11	274	285	0	20.199	169	328.787
MER41_CF	226	14	240	0	23.872	271	219.568
CarERV2c1_LTR	13	199	212	11.43	11.76	136	409.272
CarERV2b1_LTR	1	142	143	506.72	10.124	251	300.562
MER87_CF	76	46	122	0	20.896	196	246.816
SINEC_Fc	40	81	121	0	23.125	231	37.853
CarLTR7	77	36	113	91.44	22.957	3110	288.856
SINEC_old	44	66	110	9067.56	17.32	33902	93.521
LTR51_CF	89	6	95	308.6	18.163	340	265.124
CfERVF1_LTR	64	25	89	121.92	6.86	146	358.397
CarLTR1A2A	9	59	68	76.2	12.704	286	286.451
CarLTR1A2B	9	57	67	22.86	14.337	128	214.789
MER34B_CF	28	39	67	34.29	20.006	877	284.184
CarLTR1A1B	17	39	57	38.1	13.098	121	183.719
CarLTR2	41	13	54	38.1	19.796	797	370.093
CarLTR9	21	28	49	499.1	17.819	992	252.08
CarLTR1A1A	14	27	41	152.4	17.676	375	236.139
LTR72B_CF	32	9	41	0	16.918	177	340.35
CarERVR1_LTR	40	0	40	30.48	23.39	2019	314.485
CarLTR1A3	10	29	39	19.05	14.305	133	242.541
CarERV2b2_LTR	1	37	38	68.58	12.95	271	322.919
Tigger1a_Car	22	14	36	1939.24	16.648	2345	267.161
CarLTR11b	15	20	35	99.06	12.818	302	366.04
CarLTR11a	15	19	34	358.13	14.227	467	310.054
CarLTR1A1C	3	27	30	53.34	13.337	118	185.907
CarLTR3	19	8	27	72.39	20.124	412	353.301
CarERV4a_LTR	4	22	26	80.01	20.108	1395	292.618
CarERV4b_LTR	5	18	22	41.91	19.841	805	248.483
CarLTR10	9	12	21	167.64	17.599	1232	341.625
MER101B_CF	13	8	21	3.81	18.387	126	317.738
CarERV4c_CF	17	1	18	11.43	17.013	72	278.486
MER34C_CF	0	16	16	140.97	18.199	1832	291.968
CarLTR8b	9	6	15	228.59	18.677	673	267.816
CarLTR6c	4	9	13	15.24	18.35	206	279.063
CarERV3_LTR	3	9	12	26.67	14.436	258	266.043
CarLTR6a	9	3	12	26.67	17.352	278	378.173
CarLTR4	0	8	8	3.81	20.576	334	227.751
CarLTR5	0	6	6	99.06	17.437	663	339.961
CarLTR8a	2	0	2	57.15	15.616	315	246.403
Tigger2a_Car	0	2	2	350.51	17.088	8888	239.124
