TE	sense	antisense	total	RNAseq	div	copies	length
ERV2-1_CGr-I	3388	225588	228976	1604.3	10.544	13164	1614.368
ERV2-4_CGr-I	5091	24404	29495	98.22	21.135	5971	526.662
IAP1_CGr-LTR	24556	1594	26150	28026.06	5.778	3261	313.492
ERV2-2_CGr-I	14798	3172	17971	196.44	26.41	8306	606.513
L1-2_CGr	1021	11326	12347	12572.44	16.438	315083	804.998
ERV2-3_CGr-I	343	8247	8590	98.22	26.187	38796	397.093
PB1D7	6013	26	6039	23049.47	23.881	143670	97.203
L1-1_CGr	1640	4094	5734	1244.15	12.287	13838	2140.112
IAP1C_CGr-LTR	610	4220	4830	1080.44	6.829	767	321.558
MERVL_2A	71	2338	2409	163.7	18.879	4726	636.717
ERVL-E	17	2221	2238	0	31.287	2493	300.385
ERVL	18	1882	1899	0	28.571	1226	356.052
ERVL-B4	18	1882	1899	0	28.696	2508	374.338
IAP1B_CGr-LTR	538	1310	1848	4976.59	7.305	3860	312.362
MER70-int	31	1608	1639	0	28.648	80	304.725
LTR2_CGr	415	1187	1602	5926.07	16.35	62828	221.833
ERV2-2_CGr-LTR	492	1101	1593	229.19	28.842	10186	275.996
MTD	744	667	1411	78053.89	21.65	128104	283.896
LTR4_CGr	481	709	1190	949.48	13.822	1510	331.295
L1MEh	1168	0	1168	0	27.529	544	230.746
LTR6_CGr	110	975	1085	26618.21	14.983	4448	241.203
L1MEd	3	1036	1039	0	28.568	3097	233.136
MER68-int	28	891	919	0	27.381	133	322.03
Tigger17	8	475	484	0	27.993	187	190.893
L1MB3	402	1	403	0	26.072	10545	265.645
L1MD2	337	37	374	0	27.672	5659	273.345
Tigger17b	0	350	350	0	31.31	148	325.068
Tigger17c	0	350	350	0	29.817	134	191.806
L1M2	59	283	341	0	26.496	28503	378.251
PB1D9	126	215	341	656189.63	17.315	797374	105.799
L1MD1	335	3	338	0	26.958	4493	298.076
LTR81C	0	332	332	0	31.692	196	191.862
Charlie6	8	273	281	0	27.148	301	237.498
MER31A	0	278	278	0	28.092	1220	251.433
L1ME5	16	249	265	0	27.65	458	323.871
L1M4a1	63	197	260	0	27.274	1572	268.766
L4_C_Mam	65	185	250	0	28.911	1176	173.336
RodERV21	88	148	236	0	26.672	4129	400.211
Zaphod	19	212	231	0	29.166	1288	282.147
Lx8	0	229	229	0	27.317	84071	342.495
Lx8b	0	228	228	0	23.665	34081	366.606
L1MCb	84	129	213	0	28.576	1232	302.476
MER77B	0	200	200	0	30.058	995	280.035
MER89-int	143	56	198	0	30.088	180	328
MLT2F	0	196	196	0	31.81	1231	235.016
Charlie25	41	143	184	0	31.371	581	291.838
L1MB4	31	144	175	0	25.908	5609	267.763
L1M6	0	146	146	0	28.295	792	189.917
Lx9	0	146	146	0	20.878	54516	306.38
7SLRNA	128	16	144	851.26	20.863	1096	134.517
L1MB8	86	58	143	0	26.315	10978	281.324
L1M4a2	45	94	140	0	27.597	1357	271.456
LTR37B	134	0	134	0	28.887	825	216.154
ORR1D-int	83	45	128	2979.41	25.408	2349	315.737
MLT1F-int	127	0	127	0	31.318	602	303.586
L1ME3E	0	124	124	0	27.924	504	251.675
MER76-int	1	117	118	0	31.502	59	251.458
LTR107_Mam	117	0	117	0	30.1	183	212.945
4.5SRNA	71	45	116	5565.92	16.679	4319	64.806
MER20B	0	115	115	0	30.614	1849	222.945
HERVL40	111	0	111	0	30.893	452	265.838
UCON48	0	111	111	0	28.891	89	236.292
L1MB7	53	56	109	0	26.41	13091	280.62
LTR88b	106	0	106	0	32.161	382	175.348
L1_Rod2	29	75	104	0	24.446	43012	601.667
Charlie16	102	0	102	0	29.411	604	212.873
MER4B-int	78	19	97	0	22.693	116	146.431
L1ME1	0	91	91	0	28.13	10121	297.711
MTE-int	87	0	87	196.44	29.903	9326	340.544
L1MEi	0	83	83	0	27.463	1226	231.706
L1PB4	1	80	81	0	23.094	293	534
L1MCa	73	7	80	0	26.844	5026	308.596
Charlie7a	1	77	78	0	27.214	252	161.306
L1M3c	67	11	78	0	28.386	757	324.411
B4	47	26	74	1145.93	25.495	739073	79.405
LTR84b	0	73	73	0	31.857	450	217.418
Lx7	68	5	73	0	22.945	54034	431.214
HAL1	67	0	68	0	28.553	5361	213.72
MER92-int	0	68	68	0	26.876	706	283.069
L4_B_Mam	60	7	67	0	29.114	681	171.662
MER110-int	14	51	65	0	31.156	103	257.34
LTR81	0	64	64	0	31.406	161	159.689
HERVL74	0	63	63	0	29.664	248	316.379
L1M4b	36	26	63	0	27.726	3504	320.077
MLT1A	63	0	63	0	29.565	9956	204.855
MLT1G1	51	12	63	0	31.654	2224	241.26
PB1D10	47	15	62	20954.06	25.871	253518	96.776
L1M3	0	61	61	0	25.712	12980	311.192
LTR80A	60	0	60	0	32.056	229	262.939
PB1	47	13	60	4845.63	26.711	25296	108.335
Charlie10	36	23	59	0	29.038	723	218.747
ERV2-1_CGr-LTR	46	12	58	45280.42	14.536	24221	185.854
L1MEc	2	55	57	0	27.84	8248	268.64
MLT1A0	57	0	57	229.19	29.38	20839	216.805
L4_A_Mam	31	25	56	0	30.032	1375	185.104
MT2A	4	51	55	2913.92	25.315	29052	269.77
L1MDb	0	54	54	0	28.442	1023	280.205
MamRep1527	10	44	54	0	31.236	595	218.224
Charlie1	0	52	52	0	28.105	1620	274.19
LTR33C	0	52	52	0	32.134	513	217.522
LTR85a	0	52	52	0	30.903	535	186.978
LTR85b	0	52	52	0	31.857	318	212.365
MLT2E	0	52	52	0	32.304	275	195.033
MER52-int	17	28	45	0	31.712	1567	437.096
MER45R	44	0	44	0	28.313	304	275.967
Tigger22N1	0	43	43	0	29.83	436	192.369
LTR41	42	0	42	0	29.505	803	242.748
LTR41C	42	0	42	0	28.225	383	199.689
