TE	sense	antisense	total	RNAseq	div	copies	length
L1-1_SSc	249569	586201	835770	1490.23	9.42	11164	1109.492
L1-2_SSc	208277	456555	664832	3766	13.527	39481	946.01
L1B_SS	159103	138521	297625	5995.56	14.012	92729	764.833
LTR10A2_SS	1186	164110	165296	1490.23	14.009	921	457.22
L1-3_SSc	74595	77482	152077	1767.48	19.266	160445	397.635
LTR10_SS	482	135418	135900	1952.31	13.313	780	434.332
ERV2N-1_SSc-I	22305	102485	124790	1363.15	18.461	959	386.459
HAL1_SS	71904	48375	120279	6665.59	18.491	35357	295.098
Pre0_SS	91936	6006	97943	733076.11	15.967	786681	247.681
ERV1-1_SSc-I	51126	33136	84262	3246.15	15.086	1028	777.298
L1S2_SS	33922	17496	51417	242.6	16.532	90	88.289
LTR21_SS	40562	4907	45469	450.53	12.31	1804	386.258
ERV3-1_SSc-I	3582	37561	41143	92.42	20.388	3115	338.915
LTR14D_SS	2082	27498	29580	173.28	14.517	163	358.951
MER41B_SS-LTR	1659	20958	22617	4828.8	12.879	4603	340.257
LTR14_SS	114	18782	18895	23.1	11.526	167	342.737
LTR14C_SS	1188	12597	13784	161.73	11.704	71	340.028
LTR14B_SS	1187	9458	10645	196.39	9.08	143	317.51
LTR10B_SS	0	10112	10112	127.07	13.918	119	161.412
ERV2N-1_SSc-LTR	3738	4669	8408	9287.93	10.316	154	265.136
ALTR2B_SSc	8	7594	7603	1016.59	15.597	1494	358.464
SINE1B_SS	4834	631	5464	35857.86	18.81	36910	107.916
ERV1N-2_SSc-I	4278	1092	5370	4932.77	13.829	879	727.922
ERV1-2_SSc-I	7	5066	5074	958.83	11.349	165	2172.491
LTR10B2_SS	0	4289	4289	92.42	15.157	720	442.161
LTR39A4_SSc	360	3593	3953	1478.67	16.507	918	335.661
LTR41_SS	52	3051	3103	415.88	16.514	409	338.626
LTR39A2_SSc	12	2982	2994	5868.49	13.445	2958	396.828
LTR21C_SS	1697	531	2229	57.76	14.731	192	410.625
MER41_SS-LTR	126	1949	2076	589.16	13.804	1870	333.676
SINE1C_SS	342	1301	1643	8744.97	20.405	45757	125.067
LTR39B_SSc	500	749	1250	727.79	12.22	746	433.753
LTR21B_SS	725	484	1210	69.31	12.024	209	319.66
SINE1A_SS	166	994	1160	34621.78	18.607	30488	120.455
ALTR2C_SSc	888	87	975	2206.46	16.467	2278	426.356
SINE1D_SS	498	443	941	4771.04	19.999	34172	117.772
SINE1_SS	97	842	938	25021.95	17.11	23625	120.113
LTR39B2_SSc	526	302	828	2125.59	18.878	2802	296.379
ALTR2_SSc	66	677	743	2483.71	16.772	1938	395.097
MER41C_SS-LTR	277	431	708	207.94	15.613	271	404.125
SINE2-1_SSc	104	481	585	16727.51	16.431	9488	112.55
SUSINE2	175	282	457	15075.55	15.624	1286	131.53
ERV1N-3_SSc-LTR	0	397	397	173.28	10.036	144	343.382
ALTR2B2_SSc	0	364	364	958.83	17.208	2451	283.35
LTR39_SSc	12	252	264	3569.61	11.817	1895	502.646
LTR13C_SS	223	0	223	473.64	6.215	130	501.062
LTR8_SSc	0	180	180	462.09	16.129	620	424.124
LTR25_SS	172	0	172	3095.98	15.585	987	372.66
ERV1-4_SSc-I	80	76	156	23.1	19.092	285	1160.884
LTR5C_SS	112	28	140	404.33	15.176	1257	341.998
LTR2_SS	0	137	137	5880.04	13.102	4054	231.502
LTR6_SS	129	5	134	646.92	4.198	128	997.328
LTR39D_SSc	3	116	119	4193.43	20.086	2878	272.395
SSRS1	111	0	111	0	28.294	655	4114.817
LTR12_SS	107	3	110	11.55	15.951	63	787.317
LTR20_SS	100	0	100	207.94	16.168	90	679.678
LTR6B_SS	0	72	72	277.25	4.722	81	1009.42
LTR39B3_SSc	13	55	68	877.96	20.932	3403	244.979
ERV1N-3_SSc-I	2	60	62	0	25.419	106	530.83
LTR3D_SS	0	60	60	11.55	13.948	132	274.432
L1S1_SS	28	18	46	46.21	19.6	5	127
ERV1N-1_SSc-I	16	24	40	831.75	20.328	1027	594.271
LTR23_SS	0	34	34	0	15.365	26	284.192
ERV1-4B_SSc-LTR	28	0	28	92.42	15.78	156	317.442
ERV1N-2_SSc-LTR	28	0	28	4251.19	10.548	730	379.718
ERV1-1_SSc-LTR	14	10	24	635.37	6.229	468	410.859
ERV1N-1A2_SSc-I	21	2	23	34.66	13.957	84	1218.464
ERV1-1B_SSc-LTR	10	0	10	265.7	12.791	226	362.04
ERV1-3_SSc-I	0	10	10	335.01	25.171	857	446.145
ALTR2B3_SSc	0	5	5	3546.51	21.054	2347	237.216
SLTR14_SS	4	1	5	161.73	20.708	1080	243.44
LTR3_SS	0	4	4	300.36	12.655	142	275.641
LTR4_SS	3	0	3	23.1	6.588	132	931.061
LTR5_SS	0	2	2	381.22	11.975	301	404.093
LTR10C_SS	0	1	1	34.66	21.31	153	263.81
LTR11_SS	0	1	1	323.46	18.687	2257	189.946
LTR39A3_SSc	0	1	1	1420.91	13.493	377	280.674
LTR5B_SS	0	1	1	80.87	16.784	172	311.238
