TE	sense	antisense	total	RNAseq	div	copies	length
HERV4_I	863	167369	168232	65.2	18.135	327	702.092
THE1D	39809	82524	122333	6906.17	13.213	12957	319.378
HERVK9I	2520	100905	103425	20.96	7.31	551	1759.292
L1PA7_5	27031	66693	93724	516.91	7.688	12525	1513.373
L1HS	16376	74475	90852	26346.37	1.939	1686	2120.479
L1PREC1	21331	67949	89281	174.63	12.531	7576	784.275
L1	12302	76095	88397	707.85			
AluSx	67864	13210	81074	437973.69	11.631	123028	267.959
L1PREC2	11332	67556	78887	221.2	12.697	8146	784.263
AluJb	71665	6190	77856	133340.78	16.294	131775	246.555
HERVE	10991	66695	77686	27.94	12.773	284	1958.373
MLT2A2	4331	58122	62453	1881.38	13.457	3943	402.236
LTR5B	34182	22189	56370	193.26	10.802	472	769.472
HERVL	18790	32868	51658	9.31	12.049	2432	1584.501
LTR5	11439	40053	51492	37.26	12.292	26	184.192
HERV17	19245	30452	49697	232.84	7.583	914	966.772
SVA_B	5424	39115	44539	4086.42	14.073	848	672.341
SVA_C	5323	39095	44418	761.4	10.599	501	868.591
THE1_I	24262	18738	43000	365.57	12.29	219	498.046
LTR2C	2211	38805	41016	1031.5	12.419	313	307.559
THE1C	28161	12280	40441	6703.6	12.184	10029	329.375
HERVIP10F	1705	35785	37490	16.3	18.421	306	1552.99
ERVL	11980	24594	36574	18.63	24.239	873	601.763
L1PBA_5	12889	22838	35726	81.5	15.268	2249	1160.485
MLT2A1	2520	28857	31377	444.73	9.276	3838	284.35
HERVK3I	5144	25903	31047	6.99	15.068	363	1138.636
L1PB2c	18913	9884	28797	300.37	11.941	2929	789.701
THE1A	20741	6530	27270	3082.86	10.337	4314	320.906
AluYb8	21641	5232	26872	16538.95	2.466	2962	277.719
AluYb9	21517	5223	26740	9546.63	2.537	339	286.723
L1MCA_5	125	20963	21088	344.61	20.295	6997	548.699
ZAPHOD	19846	110	19956	20.96	23.154	2082	308.45
L1PA8	12300	6792	19093	207.23	8.667	8376	841.826
L1PA7	12299	6711	19010	447.06	7.904	13381	1509.344
HERV-K14I	2918	14941	17859	505.27	10.328	432	663.315
HUERS-P2	236	17463	17699	2.33	18.428	267	917.184
ERV3-16A3_I	1268	15842	17111	0	28.502	6625	581.14
L1PA6	12412	4054	16466	128.06	7.117	6143	1858.005
L1PA5	12782	3326	16108	172.3	5.54	11616	1409.498
MSTB	940	14508	15448	1273.66	16.658	8787	318.55
SVA_F	6074	8485	14559	861.52	11.798	1026	790.49
HUERS-P3B	1404	12100	13504	18.63	14.814	474	890.203
L1M2A_5	185	13022	13207	4.66	22.593	459	997.671
L1PA10	10052	2809	12861	242.16	10.328	7367	936.124
MER51E	78	12398	12475	1024.52	14.11	239	314.172
HERVIP10FH	2254	9827	12082	102.45	15.72	432	901.949
L1PB2	2684	9088	11772	158.33	11.941	2929	789.701
MER61I	503	10974	11477	139.71	13.837	1144	942.018
L1PA11	8709	2635	11344	230.52	10.748	4207	980.778
MER50I	1749	9402	11151	62.87	17.365	515	799.777
MER11A	1579	9269	10848	74.51	9.318	989	924.464
L1PA13	8551	1968	10519	249.14	11.782	9208	844.741
L1PA12	8546	1889	10435	214.22	13.27	1811	845.975
HARLEQUIN	3302	6811	10113	358.58	8.929	557	1500.422
AluYa5	4148	5294	9442	46738.9	1.487	3986	293.742
L1PA4	6241	3112	9353	316.67	4.36	12272	1575.328
HSMAR1	1797	7382	9179	810.3	10.559	729	650.805
AluYk13	3835	5284	9119	28788.91			
HERVI	1453	7553	9006	2.33	21.484	89	1906.843
L1PB1	2859	5979	8838	202.57	10.803	13446	988.68
MER20	60	8505	8564	1289.96	20.25	17233	177.532
AluYb8a1	2942	5274	8216	36267.87	9.342	616	240.086
AluYb10	2832	5314	8146	44457.02	7.814	739	284.08
AluYb11	2771	5301	8072	24683.86	11.68	49	148.571
L1PA3	5991	2042	8033	111.77	3.535	11089	1795.112
L1PA2	5942	2007	7949	79.17	2.394	5113	1951.911
L1PA15	5242	2374	7616	374.88	14.418	8569	942.062
SVA_D	5304	2212	7516	381.87	7.358	1546	1240.147
SVA_A	5272	2165	7438	344.61	21.449	1128	387.751
MER41D	0	7227	7227	6.99	17.128	491	295.511
LTR17	5686	1521	7207	8314.88	8.138	853	580.07
HERVL_40	977	6178	7155	2.33	25.706	1232	413.109
SVA_E	4897	2211	7108	307.35	20.483	701	434.93
L1MB3	69	6672	6741	1662.51	17.309	18230	394.26
HUERS-P3	1312	5379	6691	13.97	18.218	792	802.428
HERV9	5182	1457	6640	23.28	8.984	363	2434.54
L1MA4A	120	6457	6577	291.06	16.181	6325	811.085
LTR32	124	6414	6538	672.92	17.097	1247	296.888
HERV39	2211	4316	6527	610.05			
HERV15I	2229	3421	5650	6.99	14.247	79	1882.19
L1PA12_5	692	4858	5551	137.38	13.29	1862	779.593
PRIMA41	1709	3292	5000	6.99	22.907	475	799.629
HERV3	831	3992	4823	2.33	21.718	338	1312.893
LTR10B	442	4366	4809	11.64	16.603	78	428.167
LTR10F	2590	2178	4768	176.96	9.157	446	421.419
LTR8	276	4371	4647	319	14.908	3512	446.79
HERV30I	2034	2520	4554	4.66	11.016	51	2115.667
LTR10B2	264	4277	4541	9.31	19.162	104	341.144
MER11C	1188	3195	4384	624.02	8.897	951	999.924
L1MA2	195	4013	4208	579.78	12.326	7636	956.562
L1MA3	83	4118	4202	768.39	13.225	9341	931.148
HERV16	723	3440	4163	0	30.647	1836	415.763
HERV49I	399	3359	3758	13.97			
MADE1	1824	1824	3647	754.42	9.187	8017	61.123
L1MA8	392	3209	3601	288.73	16.285	11445	495.311
MER57I	1773	1742	3516	353.92	12.969	1121	807.045
L1MA5	149	3359	3508	339.95	16.05	4580	627.757
L1MA6	156	3273	3430	337.62	17.052	5566	594.589
L1MA4	108	3242	3350	412.13	16.754	10943	598.261
L1PA16	896	2415	3311	852.21	14.379	14421	791.161
HERV35I	1942	1341	3283	11.64	18.215	586	679.326
L1MA1	90	3173	3263	377.21	11.329	4359	972.922
HERV-K14CI	692	2538	3230	2.33			
MER9B	66	3106	3172	41.91	7.836	39	437.949
HERVK13I	2220	870	3090	9.31			
HERVK11DI	2287	786	3073	4.66			
LTR1F	2651	380	3031	1532.12	13.984	137	630.511
LOR1I	1253	1765	3018	20.96			
TIGGER7	190	2746	2936	193.26			
L1PB4	1302	1551	2853	225.86	17.445	7745	557.676
L1MA5A	163	2657	2820	211.89	14.071	3495	524.926
GOLEM_A	937	1784	2720	421.45			
MER1A	1086	1625	2710	968.63	12.682	3314	433.319
LTR1D	2177	440	2617	416.79	16.843	308	784.127
L1PA16_5	671	1890	2561	37.26			
MER9	136	2306	2442	388.85			
LTR7B	145	2266	2411	5606.9	7.085	879	360.779
MER52AI	742	1665	2407	2.33			
MER44C	10	2279	2289	114.09	18.368	875	481.209
L1PA14	872	1416	2288	235.17	11.794	3116	949.202
MER44B	4	2279	2283	537.87	18.821	2191	304.037
CHARLIE3	418	1834	2252	123.41			
L1MA7	82	2153	2235	756.74	16.952	8880	470.505
MER39B	2096	119	2215	1273.66	14.409	1227	375.708
L1MA9	53	2093	2146	856.87	18.334	16866	480.899
L1PB3	224	1842	2065	153.68	14.853	3656	773.499
PABL_BI	1547	462	2008	2.33			
MER83AI	1826	175	2002	0			
HERVP71A_I	546	1393	1939	0			
MER34B_I	784	1147	1932	37.26			
HERV19I	1092	810	1902	34.93			
HERVH48I	1153	635	1787	23.28			
HERV57I	1454	332	1786	2.33			
MER34C2	1563	184	1747	20.96	17.832	593	289.695
MER57A_I	992	707	1698	132.72			
L3	1141	549	1690	6.99	31.165	46118	194.175
L1M2C_5	973	642	1616	55.88			
MER50B	232	1366	1599	640.32	13.954	700	462.89
MER84I	329	1255	1584	0			
PRIMA4_I	874	709	1583	316.67			
TIGGER1	144	1422	1566	1494.86			
LTR3	3	1559	1562	235.17	11.05	98	390.112
HERVFH19I	466	1074	1539	18.63			
MER4BI	385	1034	1419	13.97			
LTR53	377	1015	1392	9.31	21.636	515	365.163
MER51I	671	718	1388	32.6			
L1MB2	39	1307	1346	533.21	18.181	9385	407.427
LTR12C	1172	167	1340	17663.59	8.774	2765	1337.668
MSTD	962	373	1335	961.65	20.135	7805	287.653
MER89I	803	514	1317	0			
LTR2B	889	410	1298	139.71	8.105	353	444.799
HERV46I	634	647	1281	4.66			
L1MB1	66	1208	1273	295.71	18.135	6286	521.423
MER110I	1023	216	1239				
HERVK11I	634	582	1216	2.33			
LTR64	1179	3	1182	27.94	17.14	384	292.122
HERVL74	710	440	1150	2.33	22.502	388	441.678
MER21I	422	699	1121	0			
MER41I	249	862	1111	16.3			
L1M2A1_5	350	752	1102	6.99			
LTR18B	113	971	1084	447.06	15.062	376	419.572
L1PBA1_5	946	120	1067	540.2			
LTR35	678	373	1051	44.24	15.678	117	317.65
LTR16A1	90	908	998	79.17	25.937	2726	266.332
L1PA14_5	400	558	958	51.23			
HERV23	232	719	951	0			
LTR25	46	902	948	2160.8	19.167	300	460.473
L1M1B_5	20	913	933	46.57			
L1ME_ORF2	234	699	933	381.87			
LTR43	206	715	920	67.52	14.796	467	359.942
LTR7A	109	805	913	10401.17	7.793	15	198.933
LTR1C2	591	316	907	400.49			
HERV18	451	456	906	25.61			
LTR8B	268	632	899	256.13	18.06	1640	473.341
LTR28C	422	469	891	18.63	17.514	348	653.483
MER66_I	489	398	887	6.99			
L1M4B	306	554	859	402.82			
PRIMAX_I	653	190	842	2.33			
CHARLIE5	798	43	841	86.15			
LTR39	734	104	838	377.21	17.152	1296	387.915
MER31_I	477	360	837	74.51			
MER51C	509	322	831	165.32	13.473	186	411.995
TIGGER6B	710	111	820	179.29			
CHARLIE10	290	523	813	41.91			
MER4I	262	549	810	193.26			
MER4A	320	488	808	302.7	12.782	917	391.911
LTR1B	221	570	791	3008.35	14.974	350	614.011
MER61F	505	237	742	13.97	14.98	166	430.657
MER50	479	253	732	1243.39	15.777	2607	433.529
LTR12D	613	114	727	1969.87	10.704	507	836.606
MLT2D	254	464	719	151.35	18.777	4589	244.55
LTR77B	664	52	716	93.14			
MER76	169	526	695	2.33	23.176	737	379.541
MER39	633	34	667	444.73	20.346	3435	318.792
LTR30	188	476	664	95.47	9.007	149	612.685
L1M2_5	348	311	659	44.24			
HARLEQUINLTR	383	272	655	1001.23			
LTR34	41	592	632	0	18.645	269	380.472
MLT2C2	156	467	623	55.88	18.269	1381	244.836
LTR75	415	205	620	0	23.377	314	321.191
LTR62	562	53	615	167.65	15.73	326	423.426
MER51D	10	596	606	11.64	14.583	171	235.427
PABL_AI	482	120	602	121.08			
LTR16	132	447	579	2.33	27.077	3079	285.357
LTR22A	476	93	570	1271.33	11.69	170	406.453
L1MCB_5	436	129	565	30.27			
LTR28B	157	401	558	41.91	18.17	268	711.459
LTR12B	507	44	552	5071.36	9.846	177	1996.136
MER83BI	304	242	546	6.99			
LTR12E	473	72	545	1082.73	13.323	138	942.29
MER61E	58	475	533	6.99	15.461	322	392.357
HERV52I	420	111	531	0			
LTR7C	275	242	518	298.04	13.968	330	394.97
LTR78B	89	424	513	29.904	3154	217.596	
MER1B	165	325	490	1746.33	14.483	5504	289.61
LTR1E	189	299	488	90.81	17.937	299	700.064
MER54	410	65	475	330.64			
L1PA17_5	66	402	468	2.33			
PABL_B	263	202	465	34.93	19.039	389	378.152
L1MB8	387	68	455	1443.64	19.013	16951	428.388
CHARLIE6	213	242	454	230.52			
L1MB3_5	53	390	443	86.15			
CHARLIE2B	62	380	442	0			
TIGGER5	182	260	442	402.82			
MER4D	343	94	437	861.52	17.116	1383	410.996
LTR2752	242	180	422	76.84	19.257	227	929.075
TIGGER2	76	344	420	360.91			
