TE	sense	antisense	total	RNAseq	div	copies	length
LTR13_Cpo	211157	103644	314801	106205.62	31.051	22134	241.322
ERV2-4_CPo-LTR	251	151709	151960	1611.49	4.17	1113	300.06
HAL1-4A_Cpo	18454	110489	128943	1147.16	23.323	31520	397.583
L1-2B_Cpo	33166	58324	91490	136.57	18.815	38230	649.806
L1-2_Cpo	24876	56837	81713	60.09	13.231	9553	1263.163
L1-1A_Cpo	33695	27358	61053	300.45	9.544	12993	1878.453
L1-1H_Cpo	11485	36852	48337	327.76	10.204	13595	1729.729
L1-1E_Cpo	18602	22981	41583	136.57	7.874	6284	1925.685
L1-1D_Cpo	16670	24098	40768	262.21	4.964	3379	2543.206
L1-1B_Cpo	13046	27147	40193	147.49	9.59	5086	1662.959
L1-2A_Cpo	18958	19094	38051	136.57	13.6	5811	1579.211
LTR12_Cpo	5520	30880	36401	371.46	15.263	1231	475.663
L1-4_Cpo	13212	21460	34672	234.9	19.958	41250	652.293
L1-4A_Cpo	8470	26154	34624	426.09	15.945	9777	1022.054
L1-1_Cpo	8593	24099	32692	333.22	4.481	6316	2352.052
L1-1C_Cpo	8019	23782	31801	344.15	2.478	7366	2533.263
LTR11_Cpo	82	31161	31243	136.57	15.396	2451	299.578
LTR12B_Cpo	28474	812	29286	273.13	15.344	925	404.563
L1-3_Cpo	4285	24318	28603	404.24	21.194	73810	643.265
L1-1F_Cpo	6244	21954	28197	120.18	9.787	1987	1629.113
LTR12D_Cpo	5810	20997	26808	437.02	7.294	1226	937.219
CAVID2E	20642	4276	24918	6877.53	16.708	3667	67.986
ERV2-4_CPo-I	5005	18933	23939	207.58	20.539	2184	861.178
L1-1G_Cpo	5961	17281	23242	32.78	18.306	2951	823.54
ERV3-1_CPo-I	19038	1536	20574	1026.99	23.359	1334	157.109
ERV2-3_CPo-I	6114	10675	16790	1425.76	8.802	3578	1668.457
LTR5B_Cpo	10384	4485	14869	1026.99	16.284	14104	303.808
CAVID	3289	10781	14071	105227.79	7.529	136179	98.202
CAVID2	1207	5629	6836	12536.87	17.723	31243	88.342
LTR7_Cpo	5684	746	6430	294.99	11.261	889	367.128
CAVID2B1	5653	329	5982	7986.45	18.11	32670	79.404
ERV2-3b_CPo-I	3167	2646	5814	5.46	23.343	722	1436.936
ERV2-3c_CPo-I	4025	1754	5779	1928.33	14.947	838	715.805
HAL1-3B_Cpo	559	4311	4869	1731.67	9.852	5399	1020.021
LTR6_Cpo	1825	2027	3852	7134.27	10.403	13545	318.206
CAVID2B	3079	708	3787	17748.28	18.219	39026	75.906
LTR8B_Cpo	411	3078	3489	644.6	16.596	5312	360.869
HAL1-4B_Cpo	1167	2252	3419	109.25	13.466	2711	866.318
HAL1-4_Cpo	1976	1340	3316	262.21	16.78	6709	1016.564
LTR6C2_Cpo	428	2484	2912	464.33	17.948	3986	278.192
ERV2-5_CPo-I	613	2292	2905	27.31	27.967	488	748.789
HAL1-1B_Cpo	1618	1120	2739	3162.9	6.168	8010	1623.711
CAVID2D	2038	700	2738	19354.31	16.221	69257	80.336
HAL1-1A_Cpo	1428	1264	2693	398.78	6.332	1876	1474.731
ERV2-3_CPo-LTR	267	2411	2679	15579.59	4.226	4068	448.416
HAL1-2C_Cpo	874	1656	2531	879.49	10.567	11356	1220.129
HAL1-1E_Cpo	1891	601	2493	1327.43	2.731	2787	1664.842
HAL1-1D_Cpo	1877	614	2491	1169.02	4.43	1568	1933.977
ERV2A-CPo_I	865	1477	2341	655.52	23.03	1871	728.884
