TE	sense	antisense	total	RNAseq	div	copies	length
ERVH_OC_I	66120	725961	792081	102.68	17.114	508	1260.876
ERV2-1_OC-I	20600	96290	116890	18.12	9.57	1573	758.928
L1C_OC	17985	96402	114387	4089.28	15.363	95187	609.879
L1A2_OC	16283	84167	100450	501.34	16.498	50630	405.569
ERV2-2_OC-I	2171	91398	93569	881.88	21.277	610	593.5
ERVNOC_I	16628	58650	75278	19298.72	10.294	5634	962.834
LTR10B1_OC	69399	302	69701	0	8.603	168	295.958
CSINE2B	32646	9140	41786	73220.38	20.191	1069645	253.559
CSINE3A	5774	24389	30164	216393.34	7.285	342630	299.547
LTR20B_OC	10724	17204	27929	10316.81	10.002	99	305.707
LTR10B_OC	22804	426	23230	18.12	7.864	131	315.649
CSINE2	14570	6792	21362	266757.27	20.191	1069645	253.559
LTR21_OC	976	16770	17746	755.04	12.712	418	423.919
CSINE1	12211	2758	14969	129854.13	19.507	375007	248.664
LINE1E_OC_5end	1721	11464	13185	181.21	22.736	9507	904.747
ERVNOC2B_LTR	570	12301	12871	42.28	9.431	168	304.315
LTR18_OC	11142	68	11210	314.1	11.293	548	353.96
ERVNOC_LTR	4186	4493	8679	192250.31	6.279	38292	354.137
LTR10D_OC	8430	20	8450	24.16	8.018	197	387.736
LTR10_OC	8278	29	8307	374.5	4.22	234	350.137
ERV1-1_OC-I	3482	4197	7678	78.52	24.88	600	653.167
LTR15_OC	267	6775	7042	84.56	6.513	56	346.143
RELIK-I	2189	4022	6211	54.36	13.582	148	1380.824
LTR2C_OC	191	5220	5410	930.2	8.733	921	311.662
LTR2A_OC	217	5054	5271	289.93	8.3	606	394.35
LTR17_OC	4834	33	4867	60.4	20.914	1543	260.925
ERVNOC2_LTR	407	4236	4643	205.37	7.957	281	347.335
LTR11_OC	1567	2553	4120	5134.25	8.293	2274	435.078
ERV2-1_OC-LTR	406	3656	4063	1709.4	10.013	810	275.279
ERVH_OC_LTR	1278	2654	3932	1389.27	6.214	715	307.74
LTR2B_OC	345	3570	3915	350.34	6.998	742	361.257
LTR8E_OC	3345	192	3536	223.49	17.362	946	339.113
LTR12A_OC	600	2787	3387	84.56	7.119	354	434.333
LLTR29_OC	13	3363	3376	6.04	11.268	130	294.538
LTR1D_OC	131	2835	2966	1993.3	9.543	1670	278.61
LTR7B_OC	2418	0	2418	30.2	7.688	196	343.51
LTR8_OC	395	1999	2394	48.32	13.933	222	369.946
LTR28B_OC	2158	16	2174	12.08	10.974	80	549.938
LTR20C_OC	2132	19	2151	84.56	10.362	593	430.098
ERV1-2_OC-I	1135	891	2026	6.04	28.248	307	427.893
LTR15D_OC	348	1410	1758	102.68	12.58	135	308.089
LTR33_OC	1250	397	1647	60.4	15.372	935	453.709
LTR20_OC	674	882	1556	2561.08	6.985	752	517.927
LLTR29B_OC	56	1259	1315	24.16	11.353	156	339.59
LTR28_OC	76	1227	1302	205.37	7.848	387	638.331
LTR23_OC	1131	7	1138	30.2	21.244	1465	191.393
ERV1-1_OC-LTR	12	1028	1040	84.56	8.584	107	328.187
LTR8D_OC	888	101	989	344.3	9.986	766	419.303
LTR9_OC	207	738	945	72.48	14.694	1077	348
LTR20C1_OC	101	686	787	36.24	13.449	525	331.952
MSU1	532	230	762	0	19.224	41	1238.268
LTR71B_OC	15	719	734	30.2	17.407	358	232.223
LTR8A1_OC	514	153	667	42.28	12.275	150	293.993
LTR32B_OC	305	259	564	60.4	14.537	460	232.52
LTR1E_OC	449	84	534	6.04	14.064	22	260.045
LTR8F_OC	431	41	472	18.12	23.387	2784	247.926
LTR22_OC	39	401	440	42.28	12.802	107	404.084
LTR5D_OC	267	146	413	108.73	4.386	228	506.846
LTR32B2_OC	380	2	381	12.08	18.8	687	275.508
LTR32B1_OC	362	5	367	132.89	14.823	920	259.686
LTR1A2_OC	146	215	361	144.97	13.416	545	260.672
LTR35_OC	7	333	340	157.05	18.392	552	211.038
LTR10C_OC	112	224	336	84.56	8.235	220	303.155
LTR1C_OC	266	58	323	78.52	15.581	366	314.087
LTR8B_OC	282	30	312	13173.87	7.78	998	550.565
LTR8B1_OC	128	171	300	7332.91	7.47	297	420.785
LTR3D_OC	164	126	290	24.16	13.613	280	395.386
LTR22C_OC	54	230	284	549.67	5.407	198	389.303
LTR22B_OC	42	218	261	12.08	9.367	105	351.086
LTR27_OC	39	215	254	5140.29	9.75	1304	322.505
LTR16A_OC	206	23	229	90.6	23.245	4024	312.95
LTR1B1_OC	37	174	211	30.2	13.71	151	281.53
LTR1A_OC	41	169	210	283.89	11.834	1016	324.37
LTR12C_OC	62	133	195	259.73	6.8	234	414.449
LTR32_OC	37	151	188	742.96	12.943	2863	273.616
SATII_OC	131	43	174	26698.08	12.339	1770	2190.064
LTR8B2_OC	129	42	171	851.68	9.013	675	520.658
LTR19_OC	0	156	156	0	9.076	70	395.014
LTR1C2_OC	46	110	156	54.36	17.549	1216	240.152
LTR36_OC	89	48	137	187.25	24.527	6589	171.561
LTR16B_OC	51	82	133	0	22.224	1316	202.323
LTR25_OC	117	10	127	24.16	5.584	69	408.406
SATI_OC	0	124	124	640.27	15.957	900	2139.992
LTR14_OC	87	32	119	48.32	15.961	834	312.248
LTR5C_OC	72	44	116	235.57	2.424	173	527.301
RELIK-LTR	1	108	109	84.56	11.769	316	367.244
LTR3A_OC	80	28	108	60.4	11.516	1301	328.796
LTR3C_OC	27	79	106	6.04	21.527	336	207.411
LTR37_OC	20	84	104	706.71	4.943	138	479.13
LTR12B_OC	7	94	101	175.17	5.895	179	428.302
LTR26_OC	76	24	100	833.56	2.252	168	279.375
LTR8C_OC	82	18	100	72.48	9.476	514	422.689
LTR3B1_OC	1	95	96	0	17.159	442	282.421
LTR7A2_OC	33	57	90	0	16.827	95	330.989
LTR3B_OC	42	47	89	120.81	15.318	1024	279.214
LTR1B_OC	68	9	78	1202.02	13.871	1696	277.39
ERV2-2_OC-LTR	34	32	66	658.39	2.674	68	280.632
ERV1-2_OC-LTR	7	52	59	682.55			
LTR14B_OC	36	20	56	0	19.132	228	272.829
LTR71_OC	18	38	56	18.12	17.607	324	221.41
LTR29_OC	14	41	55	265.77	9.463	467	384.169
LTR6_OC	27	23	50	5726.19	8.299	1312	282.113
LTR24_OC	30	16	46	0	24.546	790	274.756
LTR34_OC	15	28	43	24.16	15.512	466	296.597
LTR5_OC	28	11	38	96.64	3.014	42	521.476
LTR31_OC	4	30	34	0	22.45	902	355.425
LTR4A_OC	11	21	32	229.53	7.713	293	364.061
LTR30_OC	0	26	26	0	24.858	3405	293.194
LTR7A_OC	2	17	19	0	9.994	112	385.268
LTR13_OC	6	3	8	48.32	8.625	353	377.351
