Name	sense	antisense	total	RNAseq	div	copies	length
ORR1D1-int	12634	24161	36794	0	18.664	1020	445.225
MERVL_2A-int	18	36094	36112	10.81	19.804	873	531.473
MER89-1	2090	32885	34975	475.43	13.627	1329	233.269
MER89-2	1746	30703	32449	54.03	8.943	814	215.67
MER89-3	1732	30695	32426	21.61	11.525	809	181.581
MamRTE1	16981	3036	20016	10.81	14.861	768	310.017
B4A	441	19448	19889	187.29	15.624	5117	395.869
PB1D9	72	19556	19628	360.17	19.24	55	87.345
Charlie1	184	17654	17838	21.61	11.06	340	292.985
X6B_LINE	28	16778	16806	669.92	15.153	7185	183.254
AmnSINE1	13852	60	13912	6328.25	17.545	3540	317.604
rnd-1_family-268#Unknown	4102	9106	13208	0	19.005	405	268.879
X6A_LINE	7384	5384	12768	104.45	9.24	323	450.313
L2d2	7711	4880	12591	0	22.381	2184	919.837
L2	1064	10333	11397	3.6	11.37	405	504.499
RodERV21-int	9250	224	9475	32.42	20.764	330	579.758
L2a	9056	266	9322	223.31	13.053	3694	275.004
OldhAT1	7320	1513	8832	36.02	17.335	1556	385.813
rnd-6_family-8294#Unknown	352	8373	8724	18.01	16.784	96	353.302
L3	382	7352	7734	93.65	14.141	1743	424.943
Lx6	2687	4488	7175	0	17.535	206	271.85
PB1D9	433	6503	6936	10.81	21.939	499	100.735
ORR1D1	275	6334	6609	1483.91	11.394	827	235.015
rnd-6_family-2503#Unknown	6459	5	6464	165.68	11.799	249	141.349
B4-1	5836	346	6183	180403.68	15.929	27931	142.358
IAPLTR_MA	1312	4648	5960	241.32	12.839	930	225.294
L1MA4	1364	4190	5554	252.12	11.256	18008	647.124
MIRc	2974	2576	5551	18.01	17.402	1044	566.151
L1MA4	1893	3602	5495	75.64	13.565	12972	400.029
ORR1D2	5192	194	5386	82.84	4.668	719	101.305
PB1D9	5140	173	5313	4523.78	16.437	6395	120.543
rnd-6_family-1144#Unknown	4368	853	5222	705.94	17.138	576	263.755
AmnSINE2	4926	200	5126	36.02	17.965	784	231.88
L1MA9	1839	3095	4934	57.63	13.593	2764	184.458
L1MA4	893	3980	4872	126.06	14.917	19996	856.541
B4A	3909	801	4710	21.61	21.615	14691	266.721
L1MA4	1728	2746	4474	90.04	12.179	5620	551.282
L1MA4	1090	3325	4414	54.03	19.838	15229	552.29
L1MA4	1291	2991	4282	43.22	17.776	11615	981.585
L1MA4	2831	1357	4188	93.65	13.078	3539	233.812
B4	3307	817	4124	10.81	20.087	666	263.556
rnd-1_family-118#Unknown	3257	580	3837	14.41	15.928	100	98.9
MTD	3802	35	3837	43.22	13.15	1386	312.177
PB1D9	87	3722	3809	172.88	17.621	4713	92.691
MTD	357	3426	3784	15840.43	15.824	4610	256.5
MERVL_2A-int	12	3720	3732	10.81	23.342	2763	554.919
B4	3277	192	3469	226.91	14.732	2123	345.742
MT2A	3395	73	3468	223.31	21.718	4755	321.26
L1MC	234	3139	3374	10.81	17.799	421	593.931
MTD	144	3146	3289	965.26	16.245	2025	167.282
L1MA4	1197	2081	3278	201.7	19.907	25410	671.503
Zaphod3	1404	1871	3275	54.03	17.479	1489	259.289
L1MA4	699	2567	3266	108.05	10.242	6189	522.366
MT2A	3239	12	3251	284.54	12.817	1127	47.152
L2a	2484	742	3226	10.81	18.621	503	541.356
L1MA4	1201	2000	3201	36.02	18.217	2907	239.458
L1MA4	1132	1863	2996	39.62	11.064	7139	200.011
L1MA4	954	2034	2988	32.42	20.842	1639	139.977
L1MA4	913	1912	2825	154.87	12.841	2946	431.605
L1MA4	902	1787	2689	136.87	17.279	14787	1485.463
L1MA4	1798	810	2609	39.62	10.881	15413	409.257
MTD	2442	129	2571	792.38	20.155	7360	274.342
RodERV21-int	71	2427	2498	3.6	23.199	509	615.354
L1MA4	1709	767	2477	662.72	15.113	15227	430.814
MTD	408	1898	2306	1343.45	17.52	6135	342.217
MT2A	10	2279	2289	252.12	25.286	5719	263.328
B4	726	1558	2284	1213.78	20.453	12811	103.361
MT2A	10	2270	2280	821.2	14.387	105	56.524
Lx7	2180	6	2186	252.12	12.805	252	124.714
Lx6	1	2149	2150	590.68	19.792	8717	379.763
B4A	14	1999	2013	10.81	27.113	6144	252.963
RodERV21-int	1245	657	1902	3.6	20.484	167	801.437
X12_DNA	1832	65	1898	1004.88	13.241	1311	214.153
B4A	152	1717	1869	1916.12	15.455	983	206.479
PB1D9	66	1686	1753	331.36	10.959	811	90.277
Lx8	0	1739	1739	0	23.759	1014	199.778
RodERV21-int	982	726	1709	32.42	16.733	289	758.564
MER67B	1622	69	1691	3.6	9.426	416	273.877
PB1D9	1037	639	1676	6490.33	16.587	128223	186.901
Lx7	1531	73	1604	7.2	23.045	3878	656.455
PB1D9	171	1389	1560	129.66	20.217	1746	89.546
LTR88c	4	1528	1532	158.48	13.847	30	65.333
Lx6	418	1034	1452	7.2	25.687	1005	256.679
L3	1017	377	1394	61.23	11.22	1197	254.82
PB1D9	184	1203	1387	2758.93	21.448	2322	78.235
PB1D9	909	367	1276	1228.19	17.843	46288	155.591
OldhAT1	184	1046	1230	486.23	12.653	822	298.404
PB1D9	176	1041	1217	8302	18.861	30445	156.013
MamRTE1	311	902	1214	3.6	13.321	707	321.231
Lx7	940	249	1189	18.01	22.382	5552	412.282
MTD	403	757	1160	868.02	18.757	4539	190.234
B4	354	791	1144	1037.3	19.232	4559	72.819
L1M8	102	978	1080	97.25	12.767	4842	287.817
MTE2b	18	1030	1048	396.19	14.557	60	68.05
