TE	sense	antisense	total	RNAseq	div	copies	length
L1MdGf_II	138401	133524	271925	14.72	2.294	3583	1958.273
L1MdTf_I	134851	135091	269943	14.72	1.059	2949	2628.689
L1MdA_VI	106064	160764	266827	0	4.959	9425	1146.065
L1MdA_VII	126036	139617	265653	0	4.971	9997	962.268
L1MdTf_II	128048	133539	261586	14.72	1.108	3007	2811.355
L1MdA_II	114626	130460	245087	0	1.549	5685	2159.825
L1MdA_I	103310	130299	233609	0	0.829	4806	2393.67
L1_MM	105842	127490	233332	0			
L1MdF_III	79624	153051	232676	14.72	4.47	13715	1182.531
L1MdA_IV	140501	89528	230029	0	3.843	5612	903.301
L1MdTf_III	137278	89582	226860	14.72	1.708	5081	2386.565
L1MdN_I	100230	123038	223267	0	3.888	1812	1525.454
L1MdA_III	131390	87459	218849	14.72	2.17	11756	1370.527
L1MdA_V	102874	90481	193354	0	4.85	3695	846.965
L1MdGf_I	76434	91306	167740	14.72	1.93	2985	2147.024
IAPLTR1a_I_MM	116161	49004	165165	235.54	5.553	2027	320.898
L1MdF_II	84182	79864	164047	0	3.704	4404	1361.59
L1MdF_I	71768	90310	162078	176.65	3.542	9545	1120.065
L1MdF_IV	57455	97011	154465	14.72	5.845	17259	1009.633
IAPEZI	104970	44877	149847	412.19	5.631	4725	2281.676
L1MdF_V	52457	95067	147524	14.72	5.736	15498	1113.954
L1MdV_I	56262	73802	130064	58.88	6.964	12670	680.714
L1MdFanc_II	24920	70709	95629	103.05	8.428	14598	806.809
L1MdFanc_I	19584	45776	65360	88.33	6.352	13523	804.344
L1B_MM	17805	44970	62775	103.05			
L1MdMus_I	16816	39100	55916	73.61	7.759	9146	821.697
L1MdMus_II	14058	20252	34309	14.72	7.624	9342	682.871
L1MdV_II	13013	18363	31376	44.16	9.654	8615	831.774
L1Lx_I	10485	15442	25927	44.16	9.656	18528	789.452
LTRIS	20419	3005	23423	29.44	3.117	585	452.484
IAPLTR4_I	4459	16722	21181	29.44	6.182	318	502.569
L1MdV_III	7822	13197	21019	147.21	11.298	11814	757.902
MERVL_LTR	16185	4310	20495	4740.17	3.764	2526	1735.346
MERVL	12033	6802	18835	117.77	3.764	2526	1735.346
L1Lx_II	690	17090	17779	73.61	11.118	6040	702.563
L1Lx_IV	6972	10250	17221	176.65	12.17	11991	770.991
IAPEY5_I	15592	718	16310	485.79	12.865	185	641.768
IAPLTR1_Mm	8580	5925	14505	1899.01	3.506	1620	314.007
L1Lx_III	1824	10993	12818	309.14	10.984	13458	663.935
MMETN	3094	7686	10780	29.44	5.606	1161	1171.204
IAPA_MM	9425	754	10179	633	10.1	9	280.778
RLTR1IAP_MM	8217	1288	9505	44.16			
MMERVK10D3_LTR	8096	0	8096	765.49	6.769	190	313.837
IAPLTR1a_MM	1528	5976	7504	294.42	5.553	2027	320.898
B1	4093	3130	7224	241439.72	8.303	42928	130.425
MMERVK9C_I	20	6114	6134	633	12.438	1842	1000.174
IAPLTR3_I	3624	2466	6090	0	12.834	1747	1075.064
RLTR2aIAP_MM	4128	1753	5881	1162.96			
ERVB7_1-I_MM	800	4393	5193	14.72			
MMERVK10C	3755	987	4742	765.49	12.211	2450	1103.389
IAP1-MM_I	3927	607	4534	853.82	12.866	417	938.3
ETNERV	723	3685	4408	29.44	7.647	644	1699.011
IAPEY4_I	3866	358	4224	0	11.711	123	3358.163
LTRIS_Mus	1896	2314	4211	4946.27	7.613	948	512.355
RLTR10B2	118	3444	3562	1413.22	5.596	857	360.631
ERVB7_1-LTR_MM	1626	1521	3148	986.31	5.802	807	306.216
RLTRETN_MM	1628	1428	3055	1001.03	15.006	9817	565.694
LX6	0	2640	2640	44.16	21.768	16771	508.679
LX7	0	2640	2640	471.07	22.555	36651	398.896
IAPEY3_I	1529	486	2015	132.49	12.834	1747	1075.064
MURVY_LTR	0	1865	1865	1854.85	11.324	2150	391.438
RLTR2IAP_MM	1002	837	1839	264.98			
B2	1651	96	1747	449492.12	5.904	18645	169.529
MMERVK9E_I	68	1654	1722	161.93	17.232	1535	936.432
RLTR4_MM	1420	198	1618	2561.46	4.899	197	514.365
IAPEY3C_LTR	1002	536	1538	6845.28	5.473	495	288.521
RLTR13B1	0	1241	1241	323.86	8.983	1058	728.175
RLTR13A1	0	1053	1053	14.72	10.661	231	620.749
MMERVK10D3_I	514	320	834	191.37	23.715	350	1286.569
IAPEYI	325	501	827	14.72	7.399	669	3463.59
RLTR13D5	0	783	783	58.88	11.588	745	776.632
RLTR6I_MM	196	491	687	161.93	18.719	1009	2020.868
RLTR17_MM	500	22	522	176.65	16.446	1740	461.74
RLTR9E	0	516	516	1457.38	13.119	1320	357.409
RMER17A	0	471	471	103.05	14.285	2150	415.77
RLTR13D	0	438	438	44.16	19.79	77	619.325
RMER17D2_MM	81	328	409	897.98	15.007	2058	381.813
RLTR13D4	0	407	407	29.44	12.608	195	604.159
RLTR10D2	215	172	387	618.28	7.617	223	325.623
L1MM_F	123	198	321	103.05			
ERVB4_2-I_MM	267	14	282	191.37	10.697	291	1566.082
LTRIS4B	0	278	278	9.385	74	317.23	
RMER17D_MM	81	192	273	412.19	18.331	1359	311.767
B1F	136	129	265	6168.11	26.082	46995	110.642
RLTR9D	0	218	218	441.63	12.844	831	332.418
RLTR27_MM	0	215	215	1899.01			
RMER17B2	30	144	174	235.54	18.686	930	520.283
IAP1-MM_LTR	0	120	120	14.72	7.851	431	273.559
RLTR6B_Mm	108	0	108	780.21	4.183	660	544.026
IAPLTR4	88	8	96	161.93	10.114	693	321.144
LX2B	0	93	93	9877.82	15.274	5979	635.395
ERVB4_2-LTR_MM	0	76	76	264.98	8.711	168	391.911
RLTR13D3A	0	75	76	44.16	14.136	140	592.743
ERVB5_2-I_MM	11	64	75	161.93			
RLTR13D6	0	68	68	161.93	13.869	794	697.901
ORR1A0	44	20	64	20020.61	3.868	2268	308.981
RLTR10E	2	60	63	809.66	11.204	249	296.763
RLTR13D1	0	63	63	14.72	11.417	292	610.884
ERVB4_3-I_MM	0	51	51	14.72	13.17	83	1595.337
RLTR4I_MM	0	48	48	1015.75			
LX5b	37	10	47	3591.93	19.139	7651	600.19
RLTR1A2_MM	0	47	47	338.58	15.614	379	434.633
RLTR10F	10	36	45	2296.48	7.596	485	286.94
ERVB3_1-I_MM	42	0	42	500.52	19.14	176	747.636
L1VL1_5	12	28	41	0			
LX5	23	18	41	412.19	18.602	15289	589.189
ERVB4_1-I_MM	0	37	37	88.33	22.591	261	1404.46
RLTR29_MM	37	0	37	897.98			
RLTR9D2	0	36	36	103.05	9.416	198	336.924
RLTR13C3	0	33	33	29.44	15.322	512	762.062
RMER17B	9	24	33	88.33	16.521	2886	583.229
RLTR6_MM	32	0	32	662.45			
MLTR25A	0	30	31	117.77	18.308	1495	426.129
MLTR25B	0	30	31	14.72			
LTRIS2	0	30	30	4342.71	7.721	1509	462.003
LTRIS3	0	30	30	1634.04	8.472	152	401.197
LTRIS6	0	30	30	574.12	8.332	164	283.421
ERVB4_2B-LTR_MM	0	28	28	1236.57			
RLTR13F	0	27	27	44.16	8.01	93	668.914
RLTR20C1_MM	15	10	25	19858.68	20.041	6689	77.156
IAPLTR3	7	17	24	176.65	13.777	992	331.769
RLTR20C2_MM	15	9	24	7124.98	19.171	4782	109.011
RLTR25_MM	24	0	24	1001.03			
LX4	8	15	23	1001.03			
RLTR23_MM	15	8	23	26056.23			
ERVB7_2-LTR_MM	0	22	22	323.86	12.119	448	306.132
RLTR13E	0	22	22	58.88	13.667	615	596.055
RLTR13G	0	22	22	14.72	22.532	894	350.76
RLTR30_MM	0	22	22	647.73			
RLTR34_MM	15	7	22	14338.29			
RLTR13B4	0	21	21	103.05	11.956	444	750.279
RLTR13C1	0	21	21	44.16	13.546	349	698.117
RLTR13B3	0	20	20	88.33	5.97	254	830.791
RLTR9F	0	20	20	73.61	12.398	407	348.376
MYSERV	19	0	19	14.72	23.79	1367	429.165
IAPEY2_LTR	0	18	18	809.66	6.79	1063	324.07
IAPEY3_LTR	0	18	18	809.66	9.777	556	304.36
LTRIAPEY	0	18	18	73.61			
LTRIS4	0	18	18	12.276	161	355.932	
RLTR13B2	0	18	18	58.88	4.272	313	729.08
RLTR31B_MM	5	12	17	17341.38			
ERVB7_2B-LTR_MM	0	15	15	456.35	12.911	740	329.811
RLTR17D_Mm	0	15	15	736.05	19.758	1250	585.014
RLTR13C2	0	11	11	294.42	8.412	877	609.158
RLTR51A_Mm	11	0	11	8317.39	18.834	3369	129.521
ERVB4_1B-I_MM	0	10	10	117.77	12.712	1257	580.27
RLTR20A3_MM	9	0	9	250.26	19.398	957	281.725
ERVB2_1-I_MM	7	0	7	397.47	20.34	75	710.36
MLTR31B_MM	7	0	7	14.72			
MLTR31C_MM	7	0	7	0	18.354	220	406.327
MLTR31E_MM	7	0	7	16.485	180	358.956	
MLTR31FA_MM	7	0	7	29.44	16.96	532	418.996
MLTR31F_MM	7	0	7	603.56	16.063	399	380.727
ERVB7_3-LTR_MM	0	4	4	5270.13	11.218	314	350.936
RLTR13A	0	4	4	0	7.906	218	678.734
RLTR13B	0	4	4	0			
RLTR20A2_MM	4	0	4				
